item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
대구 - 남자 - -보통,Statistics,42.9,43.4,43.8,44.2,40.3,49.0,41.981,36.143,34.923
대구 - 남자 - -약간 만족,Statistics,37.9,39.5,33.7,34.0,40.4,34.4,35.029,36.641,36.674
대구 - 남자 - -약간 불만족,Statistics,2.3,3.4,2.6,2.6,3.1,3.5,2.654,1.628,3.129
대구 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구 - 여자 - -매우 만족,Statistics,14.1,11.7,15.5,14.5,13.2,11.1,15.243,21.944,21.364
대구 - 여자 - -매우 불만족,Statistics,0.5,0.5,0.9,0.7,0.5,0.4,0.212,0.761,0.82
대구 - 여자 - -보통,Statistics,43.6,48.0,49.1,45.6,43.9,49.5,50.506,39.09,36.396
대구 - 여자 - -약간 만족,Statistics,37.9,36.8,30.8,33.6,38.9,35.2,33.048,35.687,37.419
대구 - 여자 - -약간 불만족,Statistics,3.9,3.0,3.7,5.7,3.5,3.8,0.991,2.518,4.001
대구 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전 - 계 - -매우 만족,Statistics,20.8,22.7,21.5,22.8,20.6,26.3,25.649,24.707,28.098
대전 - 계 - -매우 불만족,Statistics,0.4,0.5,1.1,0.7,0.8,0.4,1.461,0.706,0.872
대전 - 계 - -보통,Statistics,34.1,39.1,37.9,36.6,40.3,39.7,38.398,31.703,30.33
대전 - 계 - -약간 만족,Statistics,41.7,34.6,35.7,36.3,35.1,31.9,31.278,40.054,37.274
대전 - 계 - -약간 불만족,Statistics,2.9,3.0,3.8,3.6,3.2,1.6,3.214,2.829,3.425
대전 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전 - 남자 - -매우 만족,Statistics,20.3,24.5,23.8,25.0,21.5,31.2,28.861,25.467,29.437
대전 - 남자 - -매우 불만족,Statistics,0.6,0.6,1.3,1.0,0.7,0.4,1.061,0.204,0.878
대전 - 남자 - -보통,Statistics,33.4,38.5,36.5,34.9,39.4,35.4,35.808,33.453,30.169
대전 - 남자 - -약간 만족,Statistics,42.7,33.8,35.1,36.4,35.8,31.7,31.407,38.533,36.588
대전 - 남자 - -약간 불만족,Statistics,2.9,2.6,3.4,2.8,2.6,1.4,2.862,2.343,2.927
대전 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전 - 여자 - -매우 만족,Statistics,21.2,21.1,19.4,20.7,19.6,21.6,22.457,23.939,26.731
대전 - 여자 - -매우 불만족,Statistics,0.3,0.5,1.0,0.4,0.9,0.4,1.858,1.213,0.867
대전 - 여자 - -보통,Statistics,34.8,39.7,39.2,38.3,41.1,44.1,40.972,29.937,30.494
대전 - 여자 - -약간 만족,Statistics,40.8,35.4,36.2,36.2,34.5,32.1,31.149,41.59,37.974
대전 - 여자 - -약간 불만족,Statistics,2.9,3.4,4.3,4.4,3.9,1.9,3.563,3.32,3.934
대전 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산 - 계 - -매우 만족,Statistics,15.2,15.6,17.9,16.2,14.8,16.7,27.11,24.081,23.854
부산 - 계 - -매우 불만족,Statistics,0.7,0.6,0.5,0.8,0.6,0.9,0.536,0.7,0.889
