item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
동대문구 - 당해년가격,Statistics,6055224.0,6391083.0,6492698.0,6555042.0,6589147.0,7185192.0,7218027.0,7328160.0,7555543.0,7399775.0,7711273.0
동두천시 - 2015년 기준년가격,Statistics,1520376.0,1686802.0,2107094.0,1870375.0,1870134.0,1809450.0,1872819.0,1785847.0,1824463.0,1724371.0,1807913.0
동두천시 - 당해년가격,Statistics,1280990.0,1441849.0,1891387.0,1743044.0,1870134.0,1908968.0,1885613.0,1768912.0,1818825.0,1779431.0,1792963.0
동래구 - 2015년 기준년가격,Statistics,3281213.0,3433029.0,3581434.0,3410622.0,3650774.0,3705988.0,3767159.0,3854616.0,3837818.0,3687416.0,3923603.0
동래구 - 당해년가격,Statistics,3057859.0,3191055.0,3361140.0,3287528.0,3650774.0,3793172.0,3934188.0,4063079.0,4097686.0,3989457.0,4319168.0
동작구 - 2015년 기준년가격,Statistics,6333388.0,6297286.0,6130810.0,5773906.0,5521181.0,5842744.0,6005916.0,6024527.0,6115838.0,6138131.0,6051056.0
동작구 - 당해년가격,Statistics,5810675.0,5916935.0,5820494.0,5595277.0,5521181.0,5965426.0,6254375.0,6362074.0,6527100.0,6650824.0,6712864.0
동해시 - 2015년 기준년가격,Statistics,2556681.0,2698105.0,2645839.0,2880677.0,2798341.0,2678541.0,3026291.0,3123913.0,3168211.0,2970209.0,3182434.0
동해시 - 당해년가격,Statistics,2264055.0,2461228.0,2470471.0,2759986.0,2798341.0,2733073.0,3047017.0,3161368.0,3249883.0,3168301.0,3353305.0
마포구 - 2015년 기준년가격,Statistics,14727155.0,15770933.0,17015917.0,17566744.0,17955655.0,18596061.0,18197917.0,18734499.0,18987571.0,18944331.0,19604417.0
마포구 - 당해년가격,Statistics,13633828.0,14832137.0,16128504.0,16959271.0,17955655.0,18926362.0,18740095.0,19474677.0,19943128.0,20199596.0,21399314.0
목포시 - 2015년 기준년가격,Statistics,3520738.0,3614668.0,3743836.0,3699363.0,3797895.0,3857829.0,3962565.0,4031975.0,4282246.0,4091328.0,4167158.0
목포시 - 당해년가격,Statistics,3288394.0,3410917.0,3557167.0,3574629.0,3797895.0,3909811.0,4100412.0,4222818.0,4530502.0,4444220.0,4594091.0
무안군 - 2015년 기준년가격,Statistics,2045753.0,2252586.0,2408947.0,2476969.0,2560963.0,2707972.0,2670758.0,2795522.0,2995494.0,2986265.0,3089157.0
무안군 - 당해년가격,Statistics,1923446.0,2151471.0,2323108.0,2432476.0,2560963.0,2757494.0,2795057.0,2997313.0,3217377.0,3358212.0,3558764.0
무주군 - 2015년 기준년가격,Statistics,553383.0,561400.0,676099.0,596925.0,590453.0,603514.0,613954.0,593879.0,673956.0,708162.0,709458.0
무주군 - 당해년가격,Statistics,496834.0,524626.0,641091.0,573158.0,590453.0,618911.0,626209.0,573333.0,691337.0,745672.0,753161.0
문경시 - 2015년 기준년가격,Statistics,,,,,1431745.0,1461459.0,1508876.0,1619984.0,1580066.0,1682114.0,1704363.0
문경시 - 당해년가격,Statistics,,,,,1431745.0,1489604.0,1564029.0,1678535.0,1637905.0,1794902.0,1858161.0
미추홀구 - 2015년 기준년가격,Statistics,,,,,6412989.0,6527077.0,6737623.0,6733129.0,6848536.0,7314486.0,7681022.0
미추홀구 - 당해년가격,Statistics,,,,,6412989.0,6653343.0,6966050.0,6976354.0,7129517.0,7697533.0,8092829.0
밀양시 - 2015년 기준년가격,Statistics,,,,,2688732.0,2729790.0,2793600.0,2870984.0,3007698.0,2922551.0,2935296.0
밀양시 - 당해년가격,Statistics,,,,,2688732.0,2756863.0,2893243.0,3008573.0,3160717.0,3172719.0,3212528.0
보령시 - 2015년 기준년가격,Statistics,3771810.0,3535914.0,3786817.0,4259189.0,4139826.0,3910803.0,4386420.0,4206383.0,4535909.0,4227389.0,4129939.0
보령시 - 당해년가격,Statistics,2957905.0,2817661.0,3272468.0,3888902.0,4139826.0,4109369.0,4248901.0,3901118.0,4234257.0,4190195.0,3852144.0
보성군 - 2015년 기준년가격,Statistics,817928.0,787760.0,790225.0,866919.0,811238.0,840566.0,831833.0,853639.0,933114.0,914332.0,910875.0
보성군 - 당해년가격,Statistics,761406.0,761743.0,765916.0,846474.0,811238.0,858477.0,855587.0,942601.0,996309.0,1008572.0,1041673.0
보은군 - 2015년 기준년가격,Statistics,762550.0,817380.0,816003.0,1036775.0,1010667.0,1043023.0,1132737.0,1117864.0,1062520.0,1063270.0,1084518.0
보은군 - 당해년가격,Statistics,713799.0,777724.0,781445.0,1002089.0,1010667.0,1077012.0,1184537.0,1173954.0,1110390.0,1167227.0,1220756.0
봉화군 - 2015년 기준년가격,Statistics,,,,,979520.0,970191.0,980216.0,965439.0,1067312.0,1079446.0,1179302.0
봉화군 - 당해년가격,Statistics,,,,,979520.0,985253.0,1010072.0,1023584.0,1105448.0,1163777.0,1305950.0
부산광역시 - 2015년 기준년가격,Statistics,73792908.0,75742868.0,77000292.0,80258570.0,82701497.0,84114530.0,85441974.0,86889875.0,89105372.0,85962709.0,87629325.0
부산광역시 - 당해년가격,Statistics,68484173.0,71155823.0,73319051.0,77562517.0,82701497.0,85536348.0,87835601.0,89979896.0,93012134.0,91286486.0,97805911.0
부산진구 - 2015년 기준년가격,Statistics,6649626.0,6358958.0,6777132.0,7163563.0,7185291.0,7627274.0,7876844.0,8236840.0,8512852.0,8161304.0,8364184.0
부산진구 - 당해년가격,Statistics,6893939.0,6456446.0,6676797.0,6984981.0,7185291.0,7757805.0,8192376.0,8516260.0,8886673.0,8640684.0,9061721.0
부안군 - 2015년 기준년가격,Statistics,1136576.0,1156467.0,1242036.0,1280853.0,1306282.0,1249072.0,1324664.0,1353561.0,1385512.0,1391594.0,1297695.0
부안군 - 당해년가격,Statistics,1038443.0,1100261.0,1193868.0,1223879.0,1306282.0,1281819.0,1415039.0,1462804.0,1481752.0,1545178.0,1485539.0
부여군 - 2015년 기준년가격,Statistics,1669886.0,1569439.0,1644281.0,1644455.0,1827253.0,1837885.0,1872202.0,1899179.0,1853906.0,1850859.0,1862250.0
부여군 - 당해년가격,Statistics,1629132.0,1552915.0,1624612.0,1616340.0,1827253.0,1885057.0,1948200.0,2008286.0,1925260.0,1980356.0,2050972.0
부천시 - 2015년 기준년가격,Statistics,14354762.0,14635261.0,15394548.0,15348378.0,15833160.0,16219163.0,16284267.0,16646782.0,16875601.0,16968307.0,16867923.0
