item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
대구 - 계 - 보통,Statistics,37.3,55.8,51.9,41.3,45.4,49.7,47.246,49.651,49.321
대구 - 계 - 비교적 안전,Statistics,6.6,6.0,12.3,7.7,11.9,11.7,22.017,26.603,22.965
대구 - 계 - 비교적 안전하지 않음,Statistics,50.4,35.1,31.9,41.5,35.6,29.8,19.533,17.874,21.661
대구 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구 - 남자 - 매우 안전,Statistics,0.2,0.3,0.7,0.5,0.7,0.8,3.167,5.337,2.746
대구 - 남자 - 매우 안전하지 않음,Statistics,4.6,1.8,3.1,7.1,6.8,6.7,7.93,1.94,3.911
대구 - 남자 - 보통,Statistics,39.1,58.2,52.3,43.4,47.3,51.8,47.275,47.751,48.731
대구 - 남자 - 비교적 안전,Statistics,8.5,7.6,14.7,9.9,13.3,13.1,22.845,27.821,23.815
대구 - 남자 - 비교적 안전하지 않음,Statistics,47.7,32.1,29.1,39.1,31.9,27.6,18.783,17.15,20.796
대구 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구 - 여자 - 매우 안전,Statistics,0.1,,0.2,0.6,0.1,0.3,1.354,1.653,0.456
대구 - 여자 - 매우 안전하지 않음,Statistics,6.3,4.0,3.9,10.5,6.5,9.9,9.953,2.851,5.017
대구 - 여자 - 보통,Statistics,35.6,53.5,51.4,39.4,43.6,47.7,47.218,51.5,49.886
대구 - 여자 - 비교적 안전,Statistics,4.9,4.6,9.9,5.7,10.6,10.4,21.223,25.416,22.151
대구 - 여자 - 비교적 안전하지 않음,Statistics,53.1,37.9,34.6,43.9,39.2,31.8,20.253,18.579,22.49
대전 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전 - 계 - 매우 안전,Statistics,0.3,0.6,0.8,0.6,1.0,1.6,4.274,3.553,4.363
대전 - 계 - 매우 안전하지 않음,Statistics,8.8,4.0,5.9,11.2,9.9,4.1,3.247,2.103,6.581
대전 - 계 - 보통,Statistics,39.1,53.9,44.3,38.2,40.4,45.8,40.036,43.932,43.485
대전 - 계 - 비교적 안전,Statistics,5.2,11.5,13.4,11.5,12.9,20.3,33.998,36.195,26.685
대전 - 계 - 비교적 안전하지 않음,Statistics,46.6,29.9,35.6,38.6,35.9,28.2,18.444,14.217,18.886
