item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
고창군 - 재적학생수＜br＞(A),Statistics,8482.0,8217.0,8036.0,7942.0,7680.0,7447.0,7253.0,6952.0,6726.0,6418.0,6096.0,5718.0,5380.0,5245.0,5031.0,4818.0,4650.0
고흥군 - 교원1인당 학생수＜br＞(A÷B),Statistics,10.82,10.58,10.71,9.95,9.49,9.3,8.76,8.4,7.76,7.56,7.33,6.78,6.41,6.21,5.92,5.71,5.58
고흥군 - 교원수＜br＞(B),Statistics,717.0,692.0,641.0,649.0,647.0,629.0,638.0,634.0,648.0,632.0,623.0,645.0,655.0,643.0,635.0,630.0,608.0
고흥군 - 재적학생수＜br＞(A),Statistics,7760.0,7319.0,6862.0,6457.0,6143.0,5849.0,5589.0,5328.0,5027.0,4775.0,4564.0,4373.0,4196.0,3996.0,3762.0,3599.0,3391.0
곡성군 - 교원1인당 학생수＜br＞(A÷B),Statistics,20.11,20.57,21.23,20.42,19.9,19.27,19.14,18.84,18.09,17.51,17.29,16.19,14.78,14.06,13.48,12.93,12.15
곡성군 - 교원수＜br＞(B),Statistics,400.0,392.0,393.0,408.0,426.0,435.0,430.0,425.0,433.0,425.0,419.0,432.0,446.0,438.0,434.0,432.0,436.0
곡성군 - 재적학생수＜br＞(A),Statistics,8043.0,8062.0,8343.0,8331.0,8478.0,8382.0,8230.0,8008.0,7833.0,7442.0,7246.0,6992.0,6593.0,6158.0,5849.0,5584.0,5296.0
공주시 - 교원1인당 학생수＜br＞(A÷B),Statistics,22.66,22.51,22.03,22.16,21.56,19.13,18.69,18.17,17.57,17.18,16.37,16.01,15.62,15.23,14.51,11.45,11.38
공주시 - 교원수＜br＞(B),Statistics,2070.0,2058.0,2067.0,2051.0,2066.0,1970.0,1970.0,1957.0,1955.0,1926.0,1941.0,1924.0,1918.0,1910.0,1941.0,1694.0,1681.0
공주시 - 재적학생수＜br＞(A),Statistics,46910.0,46327.0,45544.0,45443.0,44549.0,37690.0,36828.0,35561.0,34347.0,33092.0,31777.0,30799.0,29965.0,29090.0,28162.0,19393.0,19123.0
과천시 - 교원1인당 학생수＜br＞(A÷B),Statistics,19.79,20.16,18.71,17.45,16.73,16.12,15.54,15.08,14.57,13.66,13.14,12.62,12.57,13.19,13.47,12.7,12.8
과천시 - 교원수＜br＞(B),Statistics,686.0,695.0,723.0,750.0,745.0,728.0,709.0,685.0,658.0,622.0,581.0,570.0,563.0,602.0,655.0,742.0,812.0
과천시 - 재적학생수＜br＞(A),Statistics,13574.0,14011.0,13524.0,13090.0,12465.0,11732.0,11017.0,10329.0,9585.0,8497.0,7632.0,7191.0,7079.0,7939.0,8823.0,9423.0,10390.0
관악구 - 교원1인당 학생수＜br＞(A÷B),Statistics,17.66,16.24,15.51,14.68,14.13,13.63,13.26,12.81,12.72,12.49,12.37,12.04,11.97,11.9,11.75,12.75,12.58
