item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
김천시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,411.0,408.0,430.0
김천시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,10408.0,10654.0,10885.0
김포시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.2,3.3,3.2
김포시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,934.0,1037.0,1092.0
김포시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,28792.0,31385.0,34269.0
김해시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.1,3.0,2.9
김해시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,1415.0,1404.0,1389.0
김해시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,45057.0,46488.0,47914.0
나주시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.6,4.5,4.3
나주시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,368.0,394.0,394.0
나주시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,8056.0,8704.0,9263.0
남구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.9,3.9,4.0
남구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,626.0,644.0,656.0
남구 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,16061.0,16552.0,16526.0
남동구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.6,3.6,3.7
남동구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,1440.0,1467.0,1524.0
남동구 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,39513.0,40679.0,41071.0
남양주시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.5,4.4,4.5
남양주시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,1655.0,1684.0,1764.0
남양주시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,36939.0,38058.0,39232.0
남원시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.5,4.4,4.3
남원시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,323.0,318.0,321.0
남원시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,7175.0,7166.0,7439.0
남해군 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.1,3.0,3.1
남해군 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,143.0,142.0,147.0
남해군 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,4569.0,4675.0,4743.0
노원구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,5.5,5.5,5.4
노원구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,1468.0,1454.0,1445.0
노원구 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,26516.0,26616.0,26618.0
논산시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.2,4.0,3.9
