item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
동두천시 - 조혼인율 (천명당),Statistics,7.6,7.0,7.2,7.3,7.0,7.0,7.2,6.6,7.0,6.8,6.4,6.0,6.0,5.9,5.2,5.2,4.4,4.6,3.9,3.5,3.6,3.4,3.6,3.8
동래구 - 조혼인율 (천명당),Statistics,5.1,5.0,4.9,5.0,4.5,5.1,5.8,5.0,4.9,5.0,5.3,5.2,5.2,4.9,4.5,4.6,4.0,4.0,4.0,3.6,3.0,2.9,3.0,3.2
동안구 - 조혼인율 (천명당),Statistics,7.1,6.2,6.8,7.2,6.4,6.6,6.7,6.4,6.1,6.5,6.2,6.7,6.8,6.3,6.5,5.5,5.3,5.1,4.7,4.2,4.1,4.4,4.1,5.4
동작구 - 조혼인율 (천명당),Statistics,8.4,8.1,8.2,8.0,7.9,7.9,8.2,7.8,7.3,7.5,7.8,8.0,7.8,7.3,7.2,6.4,5.8,5.4,5.3,4.9,4.1,3.9,4.1,5.0
동해시 - 조혼인율 (천명당),Statistics,6.1,5.8,5.5,5.9,4.9,5.7,5.8,5.6,5.5,5.6,5.5,5.3,5.1,5.1,5.1,4.8,4.5,4.1,4.2,3.6,3.8,3.4,3.4,4.0
마산시 - 조혼인율 (천명당),Statistics,6.1,5.4,5.4,5.6,5.8,6.3,6.5,5.9,5.4,,,,,,,,,,,,,,,
마산합포구 - 조혼인율 (천명당),Statistics,,,,,,,,,,6.0,6.0,5.7,5.6,5.0,5.3,5.0,4.7,4.5,4.0,3.2,3.1,3.2,3.2,3.5
마산회원구 - 조혼인율 (천명당),Statistics,,,,,,,,,,6.3,6.2,5.9,5.8,5.2,4.6,5.0,4.2,3.7,3.5,3.3,2.7,2.8,2.4,3.2
마포구 - 조혼인율 (천명당),Statistics,8.5,8.2,8.7,8.8,8.3,8.7,8.8,8.3,7.7,8.1,8.2,8.0,7.9,7.5,8.4,6.9,6.2,6.1,5.5,5.3,4.3,4.2,4.4,5.6
만안구 - 조혼인율 (천명당),Statistics,7.1,6.8,6.5,6.5,6.7,6.7,6.6,6.4,6.0,6.5,6.4,6.4,6.0,5.6,6.1,5.8,5.5,5.0,4.8,4.3,4.1,4.0,4.0,4.9
목포시 - 조혼인율 (천명당),Statistics,6.0,5.8,5.7,5.7,5.9,5.8,6.5,6.4,6.3,6.3,6.1,5.9,5.8,5.1,5.4,5.1,4.5,3.8,3.8,3.3,3.3,3.2,3.2,3.5
무안군 - 조혼인율 (천명당),Statistics,4.5,4.3,4.4,4.6,5.0,5.3,6.3,5.9,6.3,6.5,5.9,4.8,5.6,5.5,5.6,4.7,4.3,4.2,3.4,3.7,4.8,4.0,3.8,5.0
무주군 - 조혼인율 (천명당),Statistics,3.6,3.8,4.2,4.8,5.3,5.3,5.1,5.0,4.7,5.0,5.1,4.6,4.4,3.8,4.6,3.4,2.9,3.8,3.6,2.9,2.4,2.1,3.0,2.4
문경시 - 조혼인율 (천명당),Statistics,4.3,3.7,4.0,4.1,4.6,4.4,4.2,4.2,4.0,4.7,4.6,4.7,4.1,4.7,3.9,3.8,3.3,3.0,3.2,2.4,2.3,2.4,2.3,2.4
미추홀구 - 조혼인율 (천명당),Statistics,,,,,,,,,,,,,,,,,,5.3,4.6,4.3,4.0,4.1,4.0,4.7
밀양시 - 조혼인율 (천명당),Statistics,5.1,4.5,4.4,4.8,5.2,5.2,5.1,5.2,4.6,4.6,4.2,4.3,4.4,4.1,4.7,3.6,3.3,3.2,2.9,2.9,2.7,2.5,2.7,2.5
보령시 - 조혼인율 (천명당),Statistics,4.9,4.7,4.8,5.1,5.1,5.5,5.6,5.6,5.5,5.8,5.3,5.1,5.3,4.6,4.9,4.7,4.3,4.2,4.1,3.3,3.2,3.3,3.4,3.5
보성군 - 조혼인율 (천명당),Statistics,4.2,3.4,3.8,3.9,4.4,4.4,4.8,4.5,4.6,4.8,3.8,4.0,3.8,2.9,3.8,3.2,2.8,3.2,2.2,2.4,2.4,2.4,2.2,2.1
보은군 - 조혼인율 (천명당),Statistics,4.7,3.6,4.1,4.4,4.3,5.1,5.1,4.7,4.1,4.4,4.7,3.8,4.1,3.8,4.3,3.4,3.7,2.9,3.1,2.3,1.9,2.5,2.5,2.1
봉화군 - 조혼인율 (천명당),Statistics,4.1,3.3,3.4,4.4,4.8,4.4,4.7,4.5,4.4,4.4,4.1,4.3,3.8,3.8,3.6,3.7,2.7,2.5,2.6,2.0,2.2,2.0,1.8,2.2
부산광역시 - 조혼인율 (천명당),Statistics,5.8,5.6,5.4,5.4,5.2,5.5,6.0,5.6,5.2,5.7,5.8,5.8,5.9,5.4,5.3,4.9,4.5,4.3,4.1,3.6,3.3,3.2,3.1,3.5
부산진구 - 조혼인율 (천명당),Statistics,6.0,5.8,5.7,5.8,6.1,6.0,6.7,6.4,5.6,6.1,6.5,6.4,6.8,6.0,5.6,5.1,4.9,4.8,4.2,4.0,3.8,3.5,3.8,4.4
