item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
거제시 - 무농약농산물 - 농가수,Statistics,86.0,81.0,64.0,58.0,57.0,55.0,61.0,67.0,64.0,66.0
거제시 - 무농약농산물 - 면적,Statistics,63.0,77.0,55.1,56.8,54.58,64.78,59.08,61.42,64.56,72.2
거제시 - 무농약농산물 - 출하량,Statistics,865.0,845.0,699.6,632.3,579.63,624.26,610.54,617.29,445.13,724.18
거제시 - 유기농산물 - 건수,Statistics,2.0,2.0,2.0,3.0,7.0,8.0,10.0,14.0,13.0,16.0
거제시 - 유기농산물 - 농가수,Statistics,2.0,2.0,2.0,3.0,7.0,8.0,10.0,14.0,13.0,16.0
거제시 - 유기농산물 - 면적,Statistics,1.0,1.0,0.8,1.2,7.25,7.78,9.21,18.9,19.78,22.89
거제시 - 유기농산물 - 출하량,Statistics,9.0,6.0,21.8,22.9,199.08,174.17,185.62,228.37,234.52,230.22
거제시 - 저농약농산물 - 건수,Statistics,1.0,,,,,,,,,
거제시 - 저농약농산물 - 농가수,Statistics,1.0,,,,,,,,,
거제시 - 저농약농산물 - 출하량,Statistics,50.0,,,,,,,,,
거창군 - 계 - 건수,Statistics,133.0,115.0,116.0,114.0,117.0,139.0,148.0,244.0,237.0,234.0
거창군 - 계 - 농가수,Statistics,670.0,368.0,368.0,346.0,363.0,502.0,528.0,506.0,469.0,465.0
거창군 - 계 - 면적,Statistics,671.0,475.0,511.9,516.3,547.12,719.32,772.8,779.65,787.8,798.78
거창군 - 계 - 출하량,Statistics,3199.0,1047.0,1969.5,1550.5,1848.64,1821.42,1615.32,1507.91,1169.2,1213.23
거창군 - 무농약농산물 - 건수,Statistics,81.0,95.0,94.0,96.0,95.0,108.0,110.0,200.0,181.0,174.0
거창군 - 무농약농산물 - 농가수,Statistics,377.0,347.0,346.0,328.0,341.0,471.0,490.0,462.0,413.0,405.0
거창군 - 무농약농산물 - 면적,Statistics,333.0,374.0,430.7,438.1,451.79,561.13,571.38,564.08,538.03,539.0
