item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
광주광역시 - 대학교 수＜br＞(A+B+C+D),Statistics,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
광주광역시 - 산업대＜br＞(D),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
광주광역시 - 일반대＜br＞(A),Statistics,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0
광주광역시 - 전문대＜br＞(B),Statistics,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
광주시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
광주시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
광주시 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
광주시 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
광진구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,3.0
광진구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
광진구 - 일반대＜br＞(A),Statistics,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
괴산군 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
괴산군 - 대학교 수＜br＞(A+B+C+D),Statistics,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
괴산군 - 일반대＜br＞(A),Statistics,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
구로구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,2.0
구로구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
구로구 - 일반대＜br＞(A),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
구로구 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
구미시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,2.0
구미시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
구미시 - 산업대＜br＞(D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
구미시 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
구미시 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
군산시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
