item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
부산 - 계 - 모르겠음,Statistics,4.9,3.5,2.9,4.5,3.2,4.9,5.323,3.676,2.916
부산 - 계 - 별로효과없음,Statistics,19.4,20.9,17.9,15.0,14.7,14.2,13.367,11.771,14.233
부산 - 계 - 보통,Statistics,40.0,41.9,37.7,34.7,36.7,32.1,35.337,34.06,32.662
부산 - 계 - 약간효과있음,Statistics,25.0,23.5,31.8,29.5,30.3,33.4,29.765,30.791,32.187
부산 - 계 - 전혀효과없음,Statistics,4.5,4.2,4.2,4.6,4.0,3.9,2.815,4.116,5.198
부산 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산 - 남자 - 매우효과있음,Statistics,6.0,5.3,5.8,10.5,10.5,10.4,13.246,14.199,12.32
부산 - 남자 - 모르겠음,Statistics,3.6,2.5,2.8,3.8,2.3,3.2,3.815,2.719,2.735
부산 - 남자 - 별로효과없음,Statistics,19.7,22.1,17.7,15.8,16.0,15.6,13.583,12.365,14.984
부산 - 남자 - 보통,Statistics,40.2,42.6,38.6,35.0,37.2,32.8,35.987,32.778,33.454
부산 - 남자 - 약간효과있음,Statistics,25.8,22.6,31.0,29.9,29.4,33.3,30.885,32.8,30.754
부산 - 남자 - 전혀효과없음,Statistics,4.7,4.9,4.1,4.9,4.7,4.8,2.485,5.14,5.754
부산 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산 - 여자 - 매우효과있음,Statistics,6.4,6.7,5.5,12.8,11.6,12.5,13.533,16.919,13.26
부산 - 여자 - 모르겠음,Statistics,6.2,4.5,2.9,5.1,3.9,6.5,6.745,4.596,3.085
부산 - 여자 - 별로효과없음,Statistics,19.1,19.9,18.0,14.3,13.5,12.9,13.163,11.201,13.528
부산 - 여자 - 보통,Statistics,39.7,41.2,36.9,34.4,36.3,31.5,34.724,35.291,31.918
부산 - 여자 - 약간효과있음,Statistics,24.2,24.2,32.5,29.0,31.2,33.5,28.708,28.861,33.53
부산 - 여자 - 전혀효과없음,Statistics,4.4,3.5,4.3,4.4,3.4,3.0,3.127,3.132,4.677
서울 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울 - 계 - 매우효과있음,Statistics,5.9,7.4,7.3,7.7,7.6,6.4,9.849,12.419,11.974
서울 - 계 - 모르겠음,Statistics,3.6,4.2,2.6,5.3,2.4,3.2,4.556,3.859,2.971
서울 - 계 - 별로효과없음,Statistics,20.5,17.5,17.4,17.3,18.3,18.7,14.986,14.606,14.028
서울 - 계 - 보통,Statistics,38.7,37.6,41.2,38.3,41.1,41.0,36.999,34.008,34.09
서울 - 계 - 약간효과있음,Statistics,27.3,27.6,26.9,26.6,25.9,25.4,30.0,31.105,32.097
서울 - 계 - 전혀효과없음,Statistics,4.1,5.6,4.6,4.8,4.8,5.3,3.609,4.003,4.839
서울 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울 - 남자 - 매우효과있음,Statistics,5.6,7.4,7.5,7.8,7.6,6.3,9.415,11.498,11.765
서울 - 남자 - 모르겠음,Statistics,3.0,2.7,2.2,4.3,1.9,2.5,3.671,3.485,2.202
서울 - 남자 - 별로효과없음,Statistics,21.2,17.6,17.3,16.8,18.1,18.9,13.902,15.108,14.143
서울 - 남자 - 보통,Statistics,38.1,38.4,40.7,38.5,41.2,40.6,39.26,32.788,34.261
서울 - 남자 - 약간효과있음,Statistics,27.8,28.1,27.5,27.4,25.9,26.4,29.558,32.741,32.762
서울 - 남자 - 전혀효과없음,Statistics,4.3,5.8,4.8,5.2,5.3,5.3,4.196,4.38,4.867
서울 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울 - 여자 - 매우효과있음,Statistics,6.1,7.5,7.1,7.6,7.6,6.4,10.241,13.272,12.163
서울 - 여자 - 모르겠음,Statistics,4.1,5.6,2.9,6.2,2.8,3.9,5.356,4.206,3.666
서울 - 여자 - 별로효과없음,Statistics,19.7,17.4,17.4,17.8,18.5,18.5,15.967,14.142,13.925
서울 - 여자 - 보통,Statistics,39.3,36.9,41.8,38.1,40.9,41.3,34.957,35.139,33.934
서울 - 여자 - 약간효과있음,Statistics,26.8,27.1,26.3,25.8,25.9,24.5,30.4,29.588,31.497
서울 - 여자 - 전혀효과없음,Statistics,3.9,5.5,4.5,4.5,4.2,5.3,3.079,3.653,4.815
세종 - 계 - 계,Statistics,,,,,100.0,100.0,100.0,100.0,100.0
세종 - 계 - 매우효과있음,Statistics,,,,,16.0,7.8,13.15,13.644,13.027
세종 - 계 - 모르겠음,Statistics,,,,,2.8,2.6,2.739,3.031,2.668
세종 - 계 - 별로효과없음,Statistics,,,,,15.5,18.5,14.471,13.561,14.415
세종 - 계 - 보통,Statistics,,,,,34.1,36.7,31.911,34.177,34.488
세종 - 계 - 약간효과있음,Statistics,,,,,27.6,29.0,32.223,33.197,30.53
세종 - 계 - 전혀효과없음,Statistics,,,,,4.0,5.3,5.507,2.39,4.873
세종 - 남자 - 계,Statistics,,,,,100.0,100.0,100.0,100.0,100.0
세종 - 남자 - 매우효과있음,Statistics,,,,,16.3,7.8,12.995,13.49,11.642
세종 - 남자 - 모르겠음,Statistics,,,,,2.2,1.6,2.035,2.575,2.603
세종 - 남자 - 별로효과없음,Statistics,,,,,16.5,18.1,13.891,15.532,15.857
세종 - 남자 - 보통,Statistics,,,,,34.0,37.3,29.776,34.046,32.519
세종 - 남자 - 약간효과있음,Statistics,,,,,26.5,29.8,35.301,32.17,33.34
세종 - 남자 - 전혀효과없음,Statistics,,,,,4.4,5.4,6.002,2.187,4.039
세종 - 여자 - 계,Statistics,,,,,100.0,100.0,100.0,100.0,100.0
세종 - 여자 - 매우효과있음,Statistics,,,,,15.6,7.8,13.301,13.797,14.344
세종 - 여자 - 모르겠음,Statistics,,,,,3.3,3.6,3.432,3.485,2.729
세종 - 여자 - 별로효과없음,Statistics,,,,,14.5,19.0,15.042,11.597,13.045
세종 - 여자 - 보통,Statistics,,,,,34.3,36.2,34.011,34.307,36.358
세종 - 여자 - 약간효과있음,Statistics,,,,,28.7,28.2,29.194,34.221,27.858
세종 - 여자 - 전혀효과없음,Statistics,,,,,3.6,5.2,5.019,2.592,5.666
울산 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
울산 - 계 - 매우효과있음,Statistics,4.4,5.3,3.8,4.9,6.2,5.0,8.63,11.473,11.339
