item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
군위군 - 다문화 혼인 비중(%),Statistics,15.9,17.2,21.0,14.8,13.0,6.6,15.2,13.1,17.7,13.4,23.4,7.8,2.9,12.1,18.4
군위군 - 전체 혼인 건수(건),Statistics,88.0,116.0,100.0,88.0,69.0,76.0,99.0,61.0,79.0,67.0,64.0,51.0,34.0,33.0,38.0
군포시 - 다문화 혼인 건수(건),Statistics,182.0,178.0,147.0,123.0,149.0,119.0,124.0,121.0,131.0,138.0,143.0,94.0,72.0,85.0,103.0
군포시 - 다문화 혼인 비중(%),Statistics,9.5,8.0,6.6,6.1,7.5,6.0,6.2,6.7,7.8,9.4,10.6,7.9,6.4,7.9,9.8
군포시 - 전체 혼인 건수(건),Statistics,1916.0,2212.0,2232.0,2009.0,2000.0,1996.0,2014.0,1811.0,1689.0,1465.0,1348.0,1187.0,1118.0,1070.0,1048.0
권선구 - 다문화 혼인 건수(건),Statistics,206.0,193.0,193.0,207.0,159.0,162.0,169.0,147.0,206.0,202.0,189.0,127.0,115.0,146.0,170.0
권선구 - 다문화 혼인 비중(%),Statistics,9.2,8.6,8.1,7.8,6.6,6.8,6.7,5.9,8.7,8.7,9.3,6.9,6.7,8.7,9.8
권선구 - 전체 혼인 건수(건),Statistics,2250.0,2244.0,2385.0,2663.0,2415.0,2383.0,2523.0,2481.0,2372.0,2334.0,2028.0,1828.0,1710.0,1687.0,1733.0
금산군 - 다문화 혼인 건수(건),Statistics,63.0,63.0,48.0,36.0,38.0,30.0,24.0,17.0,18.0,26.0,36.0,21.0,17.0,18.0,24.0
금산군 - 다문화 혼인 비중(%),Statistics,21.7,19.1,17.6,14.0,15.9,13.3,10.4,8.6,11.9,15.7,20.9,18.8,15.6,13.2,19.0
금산군 - 전체 혼인 건수(건),Statistics,290.0,330.0,273.0,257.0,239.0,226.0,231.0,198.0,151.0,166.0,172.0,112.0,109.0,136.0,126.0
금정구 - 다문화 혼인 건수(건),Statistics,103.0,112.0,88.0,106.0,85.0,76.0,88.0,65.0,62.0,76.0,83.0,37.0,38.0,54.0,61.0
금정구 - 다문화 혼인 비중(%),Statistics,9.1,9.2,7.1,8.2,6.3,6.4,7.3,6.4,6.3,8.0,10.0,5.5,5.8,9.0,10.0
금정구 - 전체 혼인 건수(건),Statistics,1134.0,1221.0,1241.0,1289.0,1355.0,1192.0,1203.0,1016.0,990.0,946.0,834.0,670.0,660.0,600.0,610.0
금천구 - 다문화 혼인 건수(건),Statistics,328.0,360.0,275.0,235.0,217.0,177.0,177.0,186.0,179.0,201.0,181.0,133.0,127.0,140.0,178.0
금천구 - 다문화 혼인 비중(%),Statistics,19.8,20.0,15.9,13.4,13.1,11.1,11.6,13.4,12.0,15.2,14.0,10.1,11.5,12.0,16.6
금천구 - 전체 혼인 건수(건),Statistics,1654.0,1803.0,1732.0,1759.0,1661.0,1601.0,1525.0,1385.0,1494.0,1325.0,1297.0,1317.0,1102.0,1168.0,1070.0
기장군 - 다문화 혼인 건수(건),Statistics,49.0,51.0,54.0,65.0,54.0,45.0,44.0,50.0,47.0,52.0,65.0,24.0,36.0,39.0,58.0
기장군 - 다문화 혼인 비중(%),Statistics,8.0,6.7,7.8,8.1,5.5,4.2,4.1,5.0,5.6,6.6,8.6,3.2,5.5,5.5,9.4
기장군 - 전체 혼인 건수(건),Statistics,615.0,756.0,696.0,806.0,974.0,1063.0,1073.0,993.0,845.0,782.0,759.0,742.0,658.0,703.0,615.0
기흥구 - 다문화 혼인 건수(건),Statistics,166.0,170.0,167.0,191.0,176.0,150.0,149.0,145.0,144.0,146.0,155.0,130.0,95.0,114.0,131.0
기흥구 - 다문화 혼인 비중(%),Statistics,8.0,7.1,6.9,8.1,7.2,6.3,6.5,7.2,7.6,8.1,8.3,7.7,6.7,8.0,8.7
기흥구 - 전체 혼인 건수(건),Statistics,2087.0,2382.0,2432.0,2362.0,2446.0,2394.0,2299.0,2016.0,1898.0,1807.0,1876.0,1688.0,1421.0,1424.0,1506.0
김제시 - 다문화 혼인 건수(건),Statistics,86.0,94.0,67.0,62.0,65.0,53.0,47.0,37.0,50.0,46.0,39.0,36.0,20.0,36.0,46.0
김제시 - 다문화 혼인 비중(%),Statistics,19.6,19.3,15.7,15.2,16.7,14.2,13.6,12.1,15.7,16.7,15.8,12.2,9.6,15.1,16.6
김제시 - 전체 혼인 건수(건),Statistics,439.0,486.0,426.0,407.0,389.0,372.0,345.0,305.0,318.0,275.0,247.0,295.0,209.0,239.0,277.0
김천시 - 다문화 혼인 건수(건),Statistics,79.0,97.0,78.0,56.0,50.0,52.0,49.0,46.0,54.0,78.0,60.0,38.0,33.0,34.0,57.0
김천시 - 다문화 혼인 비중(%),Statistics,13.0,14.7,11.1,8.2,7.7,9.0,7.3,6.6,8.4,12.9,10.5,7.9,7.4,8.2,13.9
김천시 - 전체 혼인 건수(건),Statistics,610.0,662.0,701.0,685.0,650.0,575.0,669.0,696.0,645.0,603.0,569.0,481.0,445.0,415.0,411.0
김포시 - 다문화 혼인 건수(건),Statistics,148.0,176.0,174.0,157.0,191.0,193.0,161.0,178.0,175.0,183.0,213.0,179.0,144.0,168.0,222.0
김포시 - 다문화 혼인 비중(%),Statistics,11.7,12.2,11.6,8.6,9.9,9.2,8.1,10.1,9.0,8.6,10.8,8.7,7.6,9.2,11.9
김포시 - 전체 혼인 건수(건),Statistics,1265.0,1446.0,1506.0,1825.0,1936.0,2097.0,1990.0,1766.0,1950.0,2116.0,1973.0,2059.0,1887.0,1826.0,1870.0
김해시 - 다문화 혼인 건수(건),Statistics,236.0,279.0,242.0,233.0,201.0,198.0,197.0,204.0,205.0,215.0,266.0,150.0,133.0,187.0,206.0
김해시 - 다문화 혼인 비중(%),Statistics,7.8,8.5,7.8,7.5,6.0,6.3,6.7,7.3,7.8,8.4,10.7,6.8,7.2,10.1,11.0
김해시 - 전체 혼인 건수(건),Statistics,3021.0,3286.0,3121.0,3104.0,3355.0,3162.0,2940.0,2803.0,2634.0,2546.0,2491.0,2222.0,1849.0,1857.0,1869.0
나주시 - 다문화 혼인 건수(건),Statistics,91.0,89.0,71.0,60.0,61.0,36.0,42.0,39.0,49.0,69.0,59.0,30.0,43.0,39.0,59.0
나주시 - 다문화 혼인 비중(%),Statistics,19.2,19.7,17.2,13.0,14.6,8.7,7.4,6.5,7.8,11.5,10.0,6.1,8.2,8.7,12.0
