item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
고양시 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,1.5,2.0,3.1,3.9,5.4,6.6,12.0,10.7,13.5,15.0,15.0,15.7,18.2,18.5,19.0,19.9,20.9,21.8,22.4
고양시 - 주민등록인구＜br＞(B),Statistics,886000.0,904077.0,910206.0,924839.0,938831.0,938784.0,950115.0,961239.0,969916.0,990571.0,1006154.0,1027546.0,1039684.0,1041983.0,1044189.0,1066351.0,1079216.0,1079353.0,1076535.0
고창군 - 사회복지시설수＜br＞(A),Statistics,5.0,7.0,7.0,9.0,10.0,10.0,13.0,10.0,10.0,10.0,9.0,10.0,11.0,13.0,13.0,12.0,13.0,11.0,14.0
고창군 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,7.7,11.0,11.3,14.8,16.6,16.6,21.4,16.6,16.5,16.5,15.0,16.7,18.2,21.5,22.8,21.6,23.8,20.6,26.7
고창군 - 주민등록인구＜br＞(B),Statistics,65203.0,63676.0,62030.0,60962.0,60328.0,60102.0,60861.0,60065.0,60440.0,60522.0,60090.0,60046.0,60597.0,60472.0,57041.0,55504.0,54529.0,53386.0,52338.0
고흥군 - 사회복지시설수＜br＞(A),Statistics,1.0,2.0,,1.0,6.0,7.0,11.0,14.0,15.0,15.0,15.0,16.0,16.0,16.0,14.0,14.0,16.0,14.0,18.0
고흥군 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,1.2,2.4,,1.3,7.8,9.3,14.9,19.3,21.0,21.2,21.5,23.3,23.6,24.0,21.3,21.6,25.0,22.3,29.1
고흥군 - 주민등록인구＜br＞(B),Statistics,86747.0,83830.0,81068.0,78589.0,76605.0,75127.0,73924.0,72607.0,71560.0,70631.0,69641.0,68601.0,67656.0,66736.0,65777.0,64913.0,63922.0,62762.0,61880.0
곡성군 - 사회복지시설수＜br＞(A),Statistics,,4.0,5.0,4.0,6.0,5.0,9.0,9.0,10.0,10.0,12.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,9.0
곡성군 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,,11.7,14.9,12.0,18.4,15.6,28.2,28.7,32.4,32.2,39.0,35.9,36.2,39.8,37.1,38.1,39.2,39.9,33.3
곡성군 - 주민등록인구＜br＞(B),Statistics,34396.0,34157.0,33631.0,33311.0,32608.0,32084.0,31886.0,31332.0,30878.0,31009.0,30732.0,30672.0,30400.0,30131.0,29624.0,28887.0,28039.0,27535.0,27060.0
공주시 - 사회복지시설수＜br＞(A),Statistics,9.0,11.0,10.0,14.0,21.0,23.0,29.0,31.0,31.0,31.0,32.0,31.0,32.0,31.0,30.0,31.0,33.0,37.0,36.0
공주시 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,6.9,8.5,7.8,11.1,16.8,18.5,23.2,24.9,26.4,26.6,28.2,27.9,29.1,28.6,27.9,29.1,31.6,35.9,35.1
공주시 - 주민등록인구＜br＞(B),Statistics,130280.0,129489.0,128330.0,126612.0,125143.0,124172.0,124930.0,124748.0,117298.0,116369.0,113621.0,111261.0,109931.0,108432.0,107581.0,106474.0,104545.0,103145.0,102571.0
과천시 - 사회복지시설수＜br＞(A),Statistics,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
