item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
고흥군 - 논벼,Statistics,4809.0,4588.0,4873.0,6168.0,5126.0,4441.0,3726.0,4116.0,4271.0,3946.0,4572.0,4325.0,4356.0,4498.0
고흥군 - 식량작물,Statistics,616.0,356.0,349.0,1068.0,1264.0,620.0,342.0,436.0,1653.0,708.0,353.0,277.0,192.0,1186.0
고흥군 - 채소·산나물,Statistics,5637.0,6142.0,5993.0,3501.0,4639.0,5482.0,4803.0,3901.0,2771.0,3125.0,2353.0,2691.0,3489.0,1697.0
고흥군 - 축산,Statistics,732.0,501.0,351.0,530.0,399.0,616.0,728.0,550.0,569.0,350.0,340.0,136.0,209.0,247.0
곡성군 - 계,Statistics,5556.0,5440.0,5454.0,5424.0,5357.0,5269.0,5211.0,5047.0,5001.0,4674.0,4462.0,4598.0,4652.0,4544.0
곡성군 - 과수,Statistics,414.0,406.0,489.0,595.0,661.0,930.0,1128.0,1096.0,1112.0,434.0,697.0,895.0,904.0,942.0
곡성군 - 기타작물,Statistics,245.0,215.0,201.0,144.0,207.0,352.0,57.0,216.0,208.0,327.0,145.0,403.0,224.0,238.0
곡성군 - 논벼,Statistics,3722.0,3664.0,3615.0,3678.0,3113.0,2562.0,2449.0,2259.0,2496.0,2892.0,2208.0,2386.0,2352.0,2418.0
곡성군 - 식량작물,Statistics,250.0,191.0,229.0,192.0,502.0,208.0,366.0,232.0,245.0,452.0,398.0,114.0,505.0,214.0
곡성군 - 채소·산나물,Statistics,621.0,643.0,523.0,542.0,626.0,1041.0,918.0,967.0,686.0,361.0,800.0,577.0,393.0,495.0
곡성군 - 축산,Statistics,304.0,320.0,396.0,273.0,248.0,177.0,294.0,278.0,255.0,208.0,213.0,223.0,274.0,236.0
공주시 - 계,Statistics,11943.0,11740.0,11611.0,11394.0,10151.0,9770.0,9740.0,9554.0,9441.0,9281.0,10267.0,10101.0,9899.0,9683.0
공주시 - 과수,Statistics,1030.0,1099.0,1386.0,826.0,768.0,844.0,1117.0,940.0,676.0,1115.0,932.0,669.0,937.0,546.0
공주시 - 기타작물,Statistics,524.0,335.0,305.0,471.0,533.0,654.0,491.0,584.0,484.0,739.0,669.0,976.0,695.0,967.0
공주시 - 논벼,Statistics,6326.0,6090.0,4865.0,6583.0,5717.0,5297.0,4660.0,4491.0,4712.0,4810.0,5489.0,5460.0,5393.0,5438.0
공주시 - 식량작물,Statistics,691.0,927.0,1237.0,1224.0,1142.0,355.0,494.0,829.0,846.0,987.0,605.0,1138.0,893.0,800.0
공주시 - 채소·산나물,Statistics,1834.0,1773.0,2284.0,1458.0,1072.0,1186.0,1413.0,1375.0,881.0,767.0,1395.0,910.0,741.0,838.0
공주시 - 축산,Statistics,1539.0,1516.0,1534.0,832.0,919.0,1435.0,1565.0,1335.0,1843.0,863.0,1177.0,949.0,1239.0,1095.0
과천시 - 계,Statistics,504.0,510.0,534.0,527.0,506.0,369.0,378.0,352.0,333.0,357.0,246.0,246.0,246.0,215.0
과천시 - 과수,Statistics,39.0,44.0,66.0,57.0,60.0,52.0,51.0,74.0,73.0,45.0,30.0,60.0,45.0,50.0
과천시 - 기타작물,Statistics,322.0,321.0,326.0,317.0,198.0,100.0,101.0,75.0,68.0,106.0,69.0,56.0,59.0,45.0
과천시 - 논벼,Statistics,24.0,30.0,32.0,26.0,52.0,75.0,67.0,57.0,69.0,42.0,26.0,26.0,18.0,23.0
과천시 - 식량작물,Statistics,9.0,13.0,13.0,22.0,88.0,16.0,45.0,104.0,56.0,95.0,26.0,60.0,64.0,46.0
과천시 - 채소·산나물,Statistics,90.0,86.0,83.0,91.0,87.0,121.0,109.0,39.0,63.0,66.0,95.0,43.0,59.0,52.0
과천시 - 축산,Statistics,20.0,15.0,13.0,13.0,21.0,5.0,5.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0
광명시 - 계,Statistics,654.0,653.0,607.0,593.0,731.0,655.0,627.0,591.0,578.0,842.0,778.0,683.0,648.0,625.0
광명시 - 과수,Statistics,76.0,73.0,75.0,66.0,77.0,43.0,40.0,43.0,59.0,98.0,76.0,43.0,57.0,78.0
광명시 - 기타작물,Statistics,31.0,20.0,17.0,27.0,71.0,91.0,90.0,73.0,48.0,120.0,11.0,20.0,93.0,73.0
광명시 - 논벼,Statistics,215.0,231.0,187.0,193.0,166.0,143.0,109.0,109.0,99.0,182.0,127.0,166.0,138.0,133.0
광명시 - 식량작물,Statistics,30.0,22.0,22.0,17.0,120.0,30.0,60.0,82.0,103.0,232.0,151.0,216.0,102.0,73.0
광명시 - 채소·산나물,Statistics,276.0,284.0,282.0,274.0,267.0,344.0,325.0,281.0,263.0,188.0,413.0,229.0,248.0,261.0
광명시 - 축산,Statistics,26.0,24.0,24.0,15.0,30.0,4.0,4.0,4.0,7.0,22.0,0.0,10.0,10.0,7.0
광산구 - 계,Statistics,5360.0,5146.0,5122.0,5162.0,4887.0,4507.0,3934.0,3871.0,3816.0,5183.0,4590.0,4600.0,4604.0,4240.0
광산구 - 과수,Statistics,748.0,567.0,471.0,545.0,500.0,638.0,318.0,356.0,513.0,634.0,690.0,679.0,740.0,685.0
광산구 - 기타작물,Statistics,571.0,250.0,124.0,193.0,365.0,313.0,349.0,358.0,436.0,582.0,346.0,316.0,343.0,323.0
광산구 - 논벼,Statistics,3006.0,2965.0,2910.0,2918.0,2657.0,2681.0,2341.0,2053.0,1858.0,2651.0,1953.0,2027.0,2402.0,1907.0
광산구 - 식량작물,Statistics,106.0,372.0,138.0,128.0,417.0,124.0,247.0,168.0,213.0,439.0,655.0,508.0,440.0,322.0
광산구 - 채소·산나물,Statistics,861.0,844.0,1294.0,1196.0,841.0,722.0,568.0,828.0,692.0,802.0,853.0,928.0,546.0,886.0
광산구 - 축산,Statistics,69.0,148.0,186.0,184.0,107.0,28.0,110.0,108.0,103.0,75.0,92.0,142.0,134.0,118.0
광양시 - 계,Statistics,7105.0,6984.0,6826.0,6417.0,6486.0,7052.0,6919.0,6872.0,6877.0,6942.0,6855.0,6892.0,6604.0,6416.0
광양시 - 과수,Statistics,3515.0,3498.0,4004.0,3711.0,2942.0,3550.0,3132.0,3283.0,3254.0,2785.0,2555.0,2506.0,2645.0,2416.0
광양시 - 기타작물,Statistics,471.0,368.0,339.0,320.0,222.0,310.0,327.0,491.0,247.0,494.0,354.0,518.0,470.0,569.0
광양시 - 논벼,Statistics,2094.0,1865.0,1420.0,1359.0,2138.0,1914.0,2150.0,2031.0,2177.0,1950.0,2311.0,2297.0,2219.0,2088.0
광양시 - 식량작물,Statistics,127.0,206.0,288.0,210.0,273.0,158.0,221.0,252.0,254.0,471.0,279.0,202.0,172.0,353.0
광양시 - 채소·산나물,Statistics,780.0,973.0,695.0,739.0,809.0,902.0,855.0,627.0,775.0,1155.0,1284.0,1260.0,1026.0,955.0
광양시 - 축산,Statistics,117.0,75.0,79.0,77.0,102.0,218.0,234.0,188.0,170.0,87.0,72.0,108.0,72.0,36.0
