item,category,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
광주광역시 - 강력범죄 (기타 강간 등) - 발생건수,Statistics,23.0,22.0,15.0,10.0,18.0,6.0,13.0,4.0,8.0,8.0
광주광역시 - 강력범죄 (방화) - 검거건수,Statistics,36.0,43.0,41.0,34.0,28.0,40.0,14.0,20.0,33.0,41.0
광주광역시 - 강력범죄 (방화) - 검거인원,Statistics,40.0,42.0,37.0,32.0,30.0,42.0,15.0,22.0,28.0,39.0
광주광역시 - 강력범죄 (방화) - 발생건수,Statistics,44.0,48.0,38.0,35.0,27.0,42.0,16.0,22.0,35.0,41.0
광주광역시 - 강력범죄 (살인기수) - 검거건수,Statistics,12.0,10.0,9.0,3.0,10.0,10.0,7.0,6.0,2.0,13.0
광주광역시 - 강력범죄 (살인기수) - 검거인원,Statistics,10.0,10.0,10.0,3.0,11.0,15.0,9.0,6.0,5.0,13.0
광주광역시 - 강력범죄 (살인기수) - 발생건수,Statistics,12.0,11.0,9.0,3.0,10.0,11.0,7.0,5.0,1.0,12.0
광주광역시 - 강력범죄 소계 - 검거건수,Statistics,907.0,866.0,819.0,807.0,808.0,768.0,633.0,597.0,615.0,725.0
광주광역시 - 강력범죄 소계 - 검거인원,Statistics,920.0,901.0,870.0,927.0,970.0,924.0,759.0,647.0,679.0,753.0
광주광역시 - 강력범죄 소계 - 발생건수,Statistics,950.0,860.0,803.0,802.0,792.0,754.0,632.0,585.0,631.0,755.0
광주광역시 - 강력범죄(강간) - 검거건수,Statistics,208.0,227.0,177.0,207.0,206.0,188.0,163.0,155.0,144.0,157.0
광주광역시 - 강력범죄(강간) - 검거인원,Statistics,230.0,247.0,214.0,270.0,279.0,247.0,226.0,179.0,182.0,166.0
광주광역시 - 강력범죄(강간) - 발생건수,Statistics,220.0,217.0,170.0,204.0,197.0,185.0,159.0,146.0,152.0,163.0
광주광역시 - 강력범죄(강도) - 검거건수,Statistics,60.0,47.0,47.0,32.0,28.0,28.0,22.0,13.0,10.0,20.0
광주광역시 - 강력범죄(강도) - 검거인원,Statistics,68.0,66.0,54.0,61.0,39.0,60.0,28.0,16.0,9.0,29.0
광주광역시 - 강력범죄(강도) - 발생건수,Statistics,53.0,44.0,47.0,33.0,27.0,28.0,24.0,13.0,10.0,21.0
광주광역시 - 강력범죄(살인미수 등) - 검거건수,Statistics,8.0,8.0,9.0,6.0,8.0,6.0,3.0,4.0,2.0,12.0
광주광역시 - 강력범죄(살인미수 등) - 검거인원,Statistics,5.0,7.0,11.0,7.0,8.0,8.0,3.0,4.0,2.0,12.0
광주광역시 - 강력범죄(살인미수 등) - 발생건수,Statistics,7.0,7.0,8.0,6.0,8.0,5.0,3.0,4.0,2.0,12.0
