item,category,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
도봉구 - 지가변동률,Statistics,1.23,10.83,17.43,14.73,3.83,0.79,-1.22,-0.49,0.3,0.28,0.17,-1.57,0.06,0.53,0.26,1.96,0.15,2.01
동광양시 - 지가변동률,Statistics,,,5.09,9.0,4.4,2.7,-0.42,-0.61,,,,,,,,,,
동구 - 지가변동률,Statistics,,,,,,,,,-0.16,0.08,-0.03,-2.5,0.1,0.36,-0.07,0.44,0.33,0.33
동대문구 - 지가변동률,Statistics,0.2,8.84,19.39,9.36,5.41,-2.41,-1.21,-0.24,-0.08,0.11,0.31,-1.74,0.1,0.52,0.22,2.8,0.39,2.01
동두천시 - 지가변동률,Statistics,0.17,6.35,18.75,7.31,1.74,2.12,-0.61,-0.35,0.02,0.11,0.05,-1.27,0.28,0.66,0.06,2.17,0.31,1.0
동래구 - 지가변동률,Statistics,,,,,,,,,0.0,0.02,0.1,-2.19,0.07,0.42,0.2,0.28,0.11,0.11
동안구 - 지가변동률,Statistics,,,,,,,0.0,-0.11,0.03,0.19,0.08,-1.38,0.06,0.91,0.05,3.09,0.26,2.1
동작구 - 지가변동률,Statistics,0.44,7.8,19.74,11.44,7.09,0.21,-0.41,-0.63,-0.11,-0.1,0.11,-1.66,0.04,0.67,0.18,2.39,0.57,2.07
동해시 - 지가변동률,Statistics,0.93,6.97,12.79,5.56,2.89,0.82,0.09,-0.42,0.2,0.4,0.49,-0.07,0.52,0.35,-0.16,0.19,0.43,0.48
마포구 - 지가변동률,Statistics,0.53,6.52,17.72,6.19,4.94,0.66,-0.91,-0.29,0.91,-0.03,-0.14,-1.71,-0.01,0.37,0.36,2.33,0.54,2.29
만안구 - 지가변동률,Statistics,,,,,,,0.0,-0.24,-0.24,-0.03,-0.01,-1.3,0.05,0.4,0.04,2.84,0.48,1.9
