item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
세종특별자치시 - 농가인구,Statistics,,,,15312.0,16335.0,14982.0,14821.0,14268.0,13587.0,17063.0,15348.0,13789.0,13721.0,13477.0
속초시 - 농가인구,Statistics,2570.0,2777.0,2665.0,2910.0,2730.0,2829.0,2624.0,2549.0,2492.0,2461.0,2577.0,2555.0,2441.0,2306.0
수원시 - 농가인구,Statistics,9961.0,9587.0,9317.0,8849.0,10314.0,9428.0,9036.0,8412.0,8213.0,15141.0,11878.0,10521.0,9892.0,9726.0
순창군 - 농가인구,Statistics,11696.0,11688.0,11227.0,11548.0,10233.0,10485.0,10046.0,9895.0,9012.0,9440.0,8344.0,8830.0,8381.0,7893.0
순천시 - 농가인구,Statistics,32784.0,32296.0,33811.0,32040.0,24987.0,25373.0,26104.0,24376.0,24211.0,26052.0,28155.0,26042.0,25018.0,21926.0
시흥시 - 농가인구,Statistics,6644.0,6366.0,5974.0,5787.0,5535.0,4940.0,4868.0,4643.0,4524.0,4679.0,4601.0,3603.0,3285.0,3132.0
신안군 - 농가인구,Statistics,17041.0,16762.0,17200.0,16769.0,14722.0,15548.0,15434.0,15436.0,14831.0,12282.0,13508.0,13124.0,13127.0,12468.0
아산시 - 농가인구,Statistics,30090.0,28845.0,27557.0,26755.0,23232.0,21662.0,21264.0,20971.0,20231.0,19952.0,17652.0,17321.0,17218.0,16382.0
안동시 - 농가인구,Statistics,34070.0,32970.0,33479.0,33022.0,30854.0,31299.0,28907.0,27462.0,27157.0,25171.0,24401.0,23025.0,21213.0,20742.0
안산시 - 농가인구,Statistics,6030.0,5947.0,5606.0,5651.0,5533.0,5283.0,5097.0,4721.0,4449.0,5127.0,4663.0,3921.0,3880.0,3635.0
안성시 - 농가인구,Statistics,29953.0,29243.0,28266.0,26985.0,22766.0,21252.0,21152.0,20147.0,19882.0,19321.0,20913.0,22020.0,19983.0,19970.0
안양시 - 농가인구,Statistics,2091.0,1820.0,1666.0,1596.0,2037.0,1780.0,1722.0,1642.0,1724.0,3851.0,2702.0,2533.0,2672.0,2385.0
양구군 - 농가인구,Statistics,5566.0,5213.0,5186.0,5038.0,5358.0,5064.0,4578.0,4524.0,4603.0,5088.0,4867.0,4324.0,3964.0,4064.0
양산시 - 농가인구,Statistics,8408.0,8472.0,8285.0,7808.0,7666.0,6445.0,5705.0,5651.0,5345.0,8464.0,6616.0,6117.0,5809.0,5494.0
양양군 - 농가인구,Statistics,8046.0,7619.0,7686.0,7619.0,6828.0,7428.0,6956.0,6761.0,5885.0,5885.0,5818.0,5594.0,5410.0,5217.0
양주시 - 농가인구,Statistics,15833.0,14579.0,13889.0,13437.0,12569.0,11098.0,10847.0,10121.0,9722.0,9507.0,9162.0,8849.0,8255.0,7619.0
양평군 - 농가인구,Statistics,23954.0,23195.0,22876.0,22227.0,19026.0,17595.0,17314.0,16488.0,15185.0,14587.0,12770.0,12673.0,12270.0,12467.0
여수시 - 농가인구,Statistics,26574.0,26926.0,26706.0,25533.0,20284.0,19585.0,21022.0,19650.0,18889.0,16444.0,17626.0,17771.0,17485.0,16776.0
여주군 - 농가인구,Statistics,22724.0,21845.0,21805.0,20019.0,,,,,,,,,,
여주시 - 농가인구,Statistics,,,,,18347.0,20003.0,19984.0,18690.0,16875.0,16472.0,15598.0,15495.0,14744.0,14552.0
연기군 - 농가인구,Statistics,14522.0,14372.0,14766.0,,,,,,,,,,0.0,
