item,category,2016,2017,2018,2019,2020,2021,2022
충청남도 - 아동 - 종사자수,Statistics,6565.0,986.0,1016.0,1112.0,1118.0,1152.0,1332.0
충청남도 - 어린이집 - 종사자수,Statistics,15202.0,15607.0,15828.0,15397.0,15136.0,14808.0,14362.0
충청남도 - 장애인 - 종사자수,Statistics,1690.0,1775.0,1795.0,1869.0,1966.0,2097.0,2237.0
충청남도 - 정신보건 - 종사자수,Statistics,368.0,316.0,341.0,348.0,354.0,386.0,161.0
충청남도 - 지역자활센터 - 종사자수,Statistics,88.0,81.0,89.0,86.0,94.0,94.0,164.0
충청북도 - 결핵 및 한센 - 종사자수,Statistics,,,,0.0,0.0,0.0,
충청북도 - 계 - 종사자수,Statistics,23365.0,19852.0,20853.0,21441.0,21878.0,24034.0,29678.0
충청북도 - 노숙인 - 종사자수,Statistics,87.0,97.0,88.0,98.0,106.0,109.0,93.0
충청북도 - 노인 - 종사자수,Statistics,6003.0,6123.0,6924.0,7501.0,8076.0,10108.0,15669.0
충청북도 - 사회복지관 - 종사자수,Statistics,131.0,143.0,186.0,159.0,172.0,253.0,256.0
충청북도 - 아동 - 종사자수,Statistics,4671.0,908.0,927.0,931.0,966.0,960.0,1277.0
충청북도 - 어린이집 - 종사자수,Statistics,10497.0,10580.0,10716.0,10678.0,10432.0,10333.0,9928.0
충청북도 - 장애인 - 종사자수,Statistics,1686.0,1727.0,1734.0,1791.0,1837.0,1958.0,2169.0
충청북도 - 정신보건 - 종사자수,Statistics,213.0,207.0,206.0,212.0,216.0,226.0,192.0
충청북도 - 지역자활센터 - 종사자수,Statistics,77.0,67.0,72.0,71.0,73.0,87.0,94.0
