item,category,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
군포시 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
군포시 - 전체개통도＜br＞(B),Statistics,173257.0,174483.0,189921.0,184788.0,184542.0,184820.0,184820.0,184820.0,184820.0,185534.0
군포시 - 포장도로＜br＞(A),Statistics,173257.0,174483.0,189921.0,184788.0,184542.0,184820.0,184820.0,184820.0,184820.0,185534.0
금산군 - 도로포장률＜br＞(A÷B×100),Statistics,92.2,92.6,92.6,91.4,90.7,90.7,90.9,93.5,93.7,94.0
금산군 - 전체개통도＜br＞(B),Statistics,316466.0,317066.0,317766.0,346926.0,346926.0,344126.0,344536.0,335056.0,335056.0,335056.0
금산군 - 포장도로＜br＞(A),Statistics,291766.0,293466.0,294166.0,317046.0,314606.0,312246.0,313316.0,313276.0,314076.0,314916.0
금정구 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
금정구 - 전체개통도＜br＞(B),Statistics,237200.0,237370.0,237510.0,241056.0,242951.0,243215.0,243385.0,243570.0,243672.0,243672.0
금정구 - 포장도로＜br＞(A),Statistics,237200.0,237370.0,237510.0,241056.0,242951.0,243215.0,243385.0,243570.0,243672.0,243672.0
금천구 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
금천구 - 전체개통도＜br＞(B),Statistics,183157.0,183107.0,188105.0,188105.0,188105.0,188258.0,188258.0,190838.0,190278.0,190278.0
금천구 - 포장도로＜br＞(A),Statistics,183157.0,183107.0,188105.0,188105.0,188105.0,188258.0,188258.0,190838.0,190278.0,190278.0
기장군 - 도로포장률＜br＞(A÷B×100),Statistics,92.9,93.2,93.2,93.4,93.4,93.5,93.6,93.6,94.9,94.9
기장군 - 전체개통도＜br＞(B),Statistics,331374.0,343537.0,343959.0,353844.0,356849.0,360650.0,363959.0,366281.0,457943.0,460906.0
기장군 - 포장도로＜br＞(A),Statistics,307940.0,320103.0,320525.0,330410.0,333415.0,337216.0,340525.0,342847.0,434509.0,437472.0
김제시 - 도로포장률＜br＞(A÷B×100),Statistics,82.5,82.7,82.8,82.5,82.5,82.8,82.9,82.9,83.2,83.2
김제시 - 전체개통도＜br＞(B),Statistics,499499.0,499499.0,501399.0,505274.0,505274.0,516280.0,517780.0,517780.0,527180.0,527180.0
김제시 - 포장도로＜br＞(A),Statistics,412259.0,413009.0,414909.0,416609.0,416609.0,427615.0,429115.0,429115.0,438515.0,438515.0
김천시 - 도로포장률＜br＞(A÷B×100),Statistics,89.8,90.1,92.1,92.1,92.1,92.3,92.3,93.4,93.4,93.5
김천시 - 전체개통도＜br＞(B),Statistics,766864.0,788061.0,791861.0,791861.0,791861.0,816494.0,816494.0,802665.0,802925.0,816765.0
김천시 - 포장도로＜br＞(A),Statistics,688854.0,710051.0,729051.0,729051.0,729051.0,753684.0,753684.0,749914.0,750174.0,764014.0
김포시 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
김포시 - 전체개통도＜br＞(B),Statistics,176592.0,177792.0,177792.0,187072.0,187072.0,194623.0,186523.0,186523.0,187013.0,186793.0
김포시 - 포장도로＜br＞(A),Statistics,176592.0,177792.0,177792.0,187072.0,187072.0,194623.0,186523.0,186523.0,187013.0,186793.0
김해시 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
김해시 - 전체개통도＜br＞(B),Statistics,996536.0,761449.0,762155.0,778629.0,809628.0,804960.0,806562.0,817835.0,800419.0,801281.0
김해시 - 포장도로＜br＞(A),Statistics,996536.0,761449.0,762155.0,778629.0,809628.0,804960.0,806562.0,817835.0,800419.0,801281.0
나주시 - 도로포장률＜br＞(A÷B×100),Statistics,86.8,87.2,87.2,87.1,87.1,87.1,87.1,87.6,88.2,88.2
나주시 - 전체개통도＜br＞(B),Statistics,537278.0,537588.0,537765.0,536175.0,536175.0,536175.0,536175.0,558135.0,561265.0,561265.0
나주시 - 포장도로＜br＞(A),Statistics,466398.0,468508.0,468685.0,467095.0,467095.0,467095.0,467095.0,489055.0,495185.0,495185.0
남구 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
남구 - 전체개통도＜br＞(B),Statistics,205416.0,207254.0,207707.0,207934.0,207934.0,208509.0,209560.0,209840.0,210127.0,210478.0
남구 - 포장도로＜br＞(A),Statistics,205416.0,207254.0,207707.0,207934.0,207934.0,208509.0,209560.0,209840.0,210127.0,210478.0
남동구 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
남동구 - 전체개통도＜br＞(B),Statistics,436641.0,441025.0,454006.0,448268.0,452328.0,510125.0,524157.0,470517.0,496933.0,498333.0
남동구 - 포장도로＜br＞(A),Statistics,436499.0,440883.0,453864.0,448126.0,452186.0,510125.0,524157.0,470517.0,496933.0,498333.0
남양주시 - 도로포장률＜br＞(A÷B×100),Statistics,99.3,99.3,99.3,99.3,99.3,98.9,98.9,98.9,98.9,98.9
남양주시 - 전체개통도＜br＞(B),Statistics,293484.0,287714.0,287714.0,297724.0,297724.0,342554.0,331150.0,320440.0,330750.0,331560.0
남양주시 - 포장도로＜br＞(A),Statistics,291484.0,285714.0,285714.0,295724.0,295724.0,338944.0,327540.0,316830.0,327140.0,327950.0
남원시 - 도로포장률＜br＞(A÷B×100),Statistics,86.3,86.6,87.1,87.3,87.5,87.6,87.8,87.8,97.4,97.8
남원시 - 전체개통도＜br＞(B),Statistics,630721.0,639572.0,651293.0,654072.0,654580.0,657958.0,658133.0,660753.0,597443.0,597669.0
남원시 - 포장도로＜br＞(A),Statistics,544071.0,554172.0,567093.0,571142.0,572950.0,576328.0,577563.0,580183.0,581843.0,584769.0
남해군 - 도로포장률＜br＞(A÷B×100),Statistics,91.3,93.9,93.9,93.9,93.9,93.9,93.9,94.1,96.3,96.4
남해군 - 전체개통도＜br＞(B),Statistics,301331.0,301331.0,301331.0,299568.0,299188.0,299188.0,299047.0,299047.0,287147.0,290447.0
남해군 - 포장도로＜br＞(A),Statistics,275031.0,283031.0,283031.0,281268.0,280888.0,280888.0,280747.0,281347.0,276647.0,279947.0
노원구 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
노원구 - 전체개통도＜br＞(B),Statistics,290484.0,290484.0,295417.0,295417.0,296067.0,296067.0,296279.0,296279.0,296279.0,296355.0
노원구 - 포장도로＜br＞(A),Statistics,290484.0,290484.0,295417.0,295417.0,296067.0,296067.0,296279.0,296279.0,296279.0,296355.0
논산시 - 도로포장률＜br＞(A÷B×100),Statistics,93.7,79.2,79.4,81.6,81.9,82.0,89.8,90.8,90.1,90.2
논산시 - 전체개통도＜br＞(B),Statistics,568053.0,687198.0,692705.0,714342.0,719377.0,718577.0,636881.0,635133.0,635331.0,632414.0
논산시 - 포장도로＜br＞(A),Statistics,532535.0,544028.0,550130.0,582957.0,589100.0,589256.0,571758.0,576708.0,572442.0,570452.0
단양군 - 도로포장률＜br＞(A÷B×100),Statistics,91.7,91.9,92.0,92.2,95.0,95.1,95.3,95.5,95.5,95.5
단양군 - 전체개통도＜br＞(B),Statistics,399067.0,396767.0,396767.0,388608.0,386516.0,386516.0,385816.0,399702.0,399702.0,399702.0
단양군 - 포장도로＜br＞(A),Statistics,365783.0,364783.0,364953.0,358294.0,367016.0,367716.0,367716.0,381602.0,381602.0,381602.0
달서구 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.8
달서구 - 전체개통도＜br＞(B),Statistics,457754.0,482864.0,484671.0,488137.0,492115.0,492798.0,490200.0,490219.0,490421.0,1374675.0
달서구 - 포장도로＜br＞(A),Statistics,457754.0,482864.0,484671.0,488137.0,492115.0,492798.0,490200.0,490219.0,490421.0,1344425.0
달성군 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,95.8,95.9,97.0,97.0,97.0,
달성군 - 전체개통도＜br＞(B),Statistics,572831.0,572490.0,581000.0,601088.0,615964.0,631794.0,848366.0,848231.0,871000.0,
달성군 - 포장도로＜br＞(A),Statistics,572831.0,572490.0,581000.0,601088.0,590128.0,605958.0,822530.0,822395.0,845164.0,
담양군 - 도로포장률＜br＞(A÷B×100),Statistics,88.7,88.7,88.7,88.7,88.7,88.7,94.9,95.4,100.0,100.0
담양군 - 전체개통도＜br＞(B),Statistics,316572.0,318662.0,318662.0,318662.0,317422.0,317422.0,311262.0,334262.0,332162.0,332162.0
담양군 - 포장도로＜br＞(A),Statistics,280682.0,282772.0,282772.0,282772.0,281532.0,281532.0,295542.0,318742.0,332062.0,332062.0
당진시 - 도로포장률＜br＞(A÷B×100),Statistics,96.3,96.4,96.4,96.4,96.4,96.4,96.6,100.0,100.0,100.0
당진시 - 전체개통도＜br＞(B),Statistics,431930.0,441975.0,447085.0,445115.0,444960.0,444960.0,467863.0,453073.0,475183.0,529835.0
당진시 - 포장도로＜br＞(A),Statistics,416030.0,426075.0,431185.0,429215.0,429060.0,429060.0,451963.0,453073.0,475183.0,529835.0
대구광역시 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,99.1,99.1,99.1,99.1,99.1,99.0
대구광역시 - 전체개통도＜br＞(B),Statistics,2665450.0,2771048.0,2801063.0,2831496.0,2867179.0,2890976.0,2977610.0,2981925.0,3026476.0,3355547.0
대구광역시 - 포장도로＜br＞(A),Statistics,2665450.0,2771048.0,2801063.0,2831496.0,2841343.0,2865140.0,2951774.0,2956089.0,3000640.0,3321597.0
대덕구 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
