item,category,2020,2021,2022,2023
동구 - 당해년 총인구,Statistics,87246.0,86035.0,85918.0,87477.0
동대문구 - 4년전 총인구,Statistics,359935.0,357380.0,358141.0,355094.0
동대문구 - 5년간 연평균 인구증감률,Statistics,-0.6,-0.6,-0.5,0.1
동대문구 - 당해년 총인구,Statistics,351057.0,348201.0,350709.0,355999.0
동두천시 - 4년전 총인구,Statistics,98625.0,97373.0,97535.0,96541.0
동두천시 - 5년간 연평균 인구증감률,Statistics,-0.9,-0.6,-0.9,-1.4
동두천시 - 당해년 총인구,Statistics,95239.0,94912.0,94142.0,91301.0
동래구 - 4년전 총인구,Statistics,262054.0,261671.0,258386.0,260986.0
동래구 - 5년간 연평균 인구증감률,Statistics,0.1,-0.2,0.9,0.4
동래구 - 당해년 총인구,Statistics,263345.0,259838.0,267292.0,265047.0
동작구 - 4년전 총인구,Statistics,404076.0,400236.0,397980.0,400368.0
동작구 - 5년간 연평균 인구증감률,Statistics,-0.7,-0.8,-0.7,-1.0
동작구 - 당해년 총인구,Statistics,392772.0,388094.0,386605.0,384089.0
동해시 - 4년전 총인구,Statistics,89527.0,89151.0,87830.0,86780.0
동해시 - 5년간 연평균 인구증감률,Statistics,-0.5,-0.5,-0.3,-0.2
동해시 - 당해년 총인구,Statistics,87801.0,87264.0,86772.0,86222.0
마포구 - 4년전 총인구,Statistics,375142.0,368841.0,368181.0,369327.0
마포구 - 5년간 연평균 인구증감률,Statistics,-0.6,-0.2,-0.4,-0.5
마포구 - 당해년 총인구,Statistics,365612.0,365192.0,362408.0,361380.0
목포시 - 4년전 총인구,Statistics,237484.0,233948.0,231798.0,228876.0
목포시 - 5년간 연평균 인구증감률,Statistics,-1.4,-1.4,-1.3,-1.2
목포시 - 당해년 총인구,Statistics,224509.0,221178.0,219625.0,217950.0
무안군 - 4년전 총인구,Statistics,81280.0,81420.0,81324.0,81789.0
무안군 - 5년간 연평균 인구증감률,Statistics,1.0,2.6,2.7,2.5
무안군 - 당해년 총인구,Statistics,84637.0,90094.0,90630.0,90426.0
무주군 - 4년전 총인구,Statistics,23129.0,23195.0,23058.0,22852.0
무주군 - 5년간 연평균 인구증감률,Statistics,-0.5,-1.0,-0.8,-0.5
무주군 - 당해년 총인구,Statistics,22678.0,22305.0,22296.0,22401.0
문경시 - 4년전 총인구,Statistics,71038.0,70016.0,68895.0,68542.0
문경시 - 5년간 연평균 인구증감률,Statistics,-1.0,-0.8,-0.5,-0.7
문경시 - 당해년 총인구,Statistics,68212.0,67669.0,67515.0,66535.0
미추홀구 - 4년전 총인구,Statistics,416414.0,421851.0,415102.0,411612.0
미추홀구 - 5년간 연평균 인구증감률,Statistics,-0.6,-0.6,0.0,0.2
미추홀구 - 당해년 총인구,Statistics,405886.0,412022.0,415196.0,414941.0
