item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
경상북도 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6
경상북도 - 자동차등록대수＜br＞(A),Statistics,914954.0,949941.0,984265.0,1013833.0,1032280.0,1067507.0,1106316.0,1142737.0,1172860.0,1210986.0,1255903.0,1307495.0,1353654.0,1392151.0,1422157.0,1446262.0,1475389.0,1499200.0,1523914.0,1533863.0,1552384.0
경상북도 - 주민등록인구＜br＞(B),Statistics,2695917.0,2688491.0,2688577.0,2681364.0,2673931.0,2669876.0,2689920.0,2699195.0,2698353.0,2699440.0,2700794.0,2702826.0,2700398.0,2691706.0,2676831.0,2665836.0,2639422.0,2626609.0,2600492.0,2554324.0,2531384.0
경주시 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6
경주시 - 자동차등록대수＜br＞(A),Statistics,96697.0,99240.0,102266.0,105409.0,106980.0,109613.0,112341.0,115106.0,117818.0,121393.0,125464.0,130229.0,134852.0,137984.0,141075.0,142880.0,145520.0,147721.0,150532.0,153067.0,154911.0
경주시 - 주민등록인구＜br＞(B),Statistics,277870.0,275087.0,273419.0,272206.0,269343.0,267466.0,267098.0,265488.0,264091.0,263283.0,261535.0,259773.0,259452.0,257903.0,256864.0,255402.0,253502.0,251889.0,249607.0,247489.0,244769.0
계룡시 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6
계룡시 - 자동차등록대수＜br＞(A),Statistics,10949.0,12214.0,13329.0,13935.0,15533.0,16631.0,17236.0,17467.0,17253.0,17439.0,17715.0,18928.0,19898.0,21227.0,21629.0,21887.0,22646.0,23470.0,24957.0,26825.0,27119.0
계룡시 - 주민등록인구＜br＞(B),Statistics,31174.0,34370.0,36846.0,37775.0,41411.0,42760.0,43088.0,42942.0,41550.0,40957.0,40552.0,41730.0,42634.0,43967.0,43731.0,42971.0,42822.0,43331.0,44475.0,46667.0,46540.0
계양구 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1.0,1.1,1.0,1.0,0.9,1.0
계양구 - 자동차등록대수＜br＞(A),Statistics,96929.0,97124.0,100159.0,102005.0,102695.0,105691.0,108244.0,121786.0,142846.0,176224.0,207829.0,229386.0,252121.0,273157.0,288621.0,308384.0,320579.0,302708.0,275054.0,265833.0,270749.0
계양구 - 주민등록인구＜br＞(B),Statistics,337103.0,335435.0,342335.0,342564.0,342299.0,344039.0,347810.0,344299.0,342202.0,343806.0,339538.0,334332.0,330284.0,323784.0,312680.0,303471.0,296750.0,295696.0,288856.0,280266.0,280227.0
고령군 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8
고령군 - 자동차등록대수＜br＞(A),Statistics,13551.0,14021.0,14721.0,15093.0,15458.0,15941.0,16447.0,17353.0,17939.0,18337.0,19137.0,19824.0,20404.0,20680.0,20829.0,20882.0,21202.0,21319.0,21809.0,22254.0,22792.0
고령군 - 주민등록인구＜br＞(B),Statistics,34522.0,34271.0,34777.0,34907.0,34770.0,34535.0,34678.0,35455.0,35343.0,35198.0,35033.0,34594.0,34257.0,33768.0,32969.0,32373.0,31361.0,30626.0,30353.0,30139.0,30062.0
고성군 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6
고성군 - 자동차등록대수＜br＞(A),Statistics,9769.0,9943.0,10010.0,10208.0,10516.0,10979.0,11334.0,11465.0,11697.0,11881.0,12349.0,12896.0,13575.0,14076.0,14036.0,14217.0,14671.0,15455.0,16187.0,16607.0,16846.0
고성군 - 주민등록인구＜br＞(B),Statistics,32361.0,31964.0,31285.0,30383.0,30172.0,30272.0,30112.0,30057.0,30124.0,30398.0,30269.0,30060.0,30114.0,30029.0,28144.0,27260.0,26757.0,27249.0,27274.0,27305.0,26999.0
고양시 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
고양시 - 자동차등록대수＜br＞(A),Statistics,277385.0,286835.0,293222.0,302419.0,309490.0,315013.0,319687.0,325661.0,328879.0,339309.0,351413.0,368404.0,384526.0,396101.0,406289.0,418739.0,432592.0,441983.0,452846.0,461498.0,463886.0
고양시 - 주민등록인구＜br＞(B),Statistics,886000.0,904077.0,910206.0,924839.0,938831.0,938784.0,950115.0,961239.0,969916.0,990571.0,1006154.0,1027546.0,1039684.0,1041983.0,1044189.0,1066351.0,1079216.0,1079353.0,1076535.0,1074907.0,1070120.0
고창군 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7
고창군 - 자동차등록대수＜br＞(A),Statistics,18447.0,19039.0,19855.0,20542.0,21194.0,22332.0,23554.0,24273.0,25193.0,26202.0,26827.0,28052.0,29309.0,30356.0,30409.0,30542.0,31167.0,31566.0,32025.0,32762.0,33162.0
고창군 - 주민등록인구＜br＞(B),Statistics,65203.0,63676.0,62030.0,60962.0,60328.0,60102.0,60861.0,60065.0,60440.0,60522.0,60090.0,60046.0,60597.0,60472.0,57041.0,55504.0,54529.0,53386.0,52338.0,51750.0,50982.0
고흥군 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6
고흥군 - 자동차등록대수＜br＞(A),Statistics,19827.0,20477.0,21145.0,21571.0,22256.0,23298.0,23863.0,24682.0,25445.0,26217.0,27051.0,28145.0,29130.0,29998.0,30971.0,31675.0,32727.0,33340.0,34153.0,35047.0,35730.0
고흥군 - 주민등록인구＜br＞(B),Statistics,86747.0,83830.0,81068.0,78589.0,76605.0,75127.0,73924.0,72607.0,71560.0,70631.0,69641.0,68601.0,67656.0,66736.0,65777.0,64913.0,63922.0,62762.0,61880.0,61113.0,60190.0
곡성군 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6
곡성군 - 자동차등록대수＜br＞(A),Statistics,9125.0,9567.0,10094.0,10364.0,10685.0,10924.0,11348.0,11712.0,12206.0,12784.0,13314.0,14016.0,14702.0,14939.0,15124.0,15160.0,15537.0,15887.0,16199.0,16681.0,16974.0
곡성군 - 주민등록인구＜br＞(B),Statistics,34396.0,34157.0,33631.0,33311.0,32608.0,32084.0,31886.0,31332.0,30878.0,31009.0,30732.0,30672.0,30400.0,30131.0,29624.0,28887.0,28039.0,27535.0,27060.0,26905.0,26566.0
