item,category,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
기장군 - 논,Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1385.0,1231.0,1168.0,1160.0,1020.0,909.0,812.0,818.0,819.0,783.2003630303,724.0,642.1182,627.8398,622.6167,571.576,395.773,396.1521,395.7204,392.2266
기장군외 - 논,Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4371.0,4169.0,3979.0,3865.0,3627.0,3533.0,3606.0,3041.0,2958.0,2707.014301644,2624.0,2600.6939,2463.1863,2328.5984,2240.8735,1882.0664,1871.46,1881.9046,1913.5117
김제군 - 논,Statistics,24685.0,24847.9,25028.1,24995.4,25024.7,25118.0,25343.0,25826.0,26131.0,26862.0,26947.0,26497.0,23115.0,23189.0,23232.0,23140.0,23101.0,23041.0,22807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김제시 - 논,Statistics,,,,,,,,,,,,,3620.0,3638.0,3645.0,3651.0,3629.0,3560.0,3523.0,24582.0,24632.0,24543.0,24504.0,24168.0,23983.0,24105.0,23978.0,23974.0,23927.0,23872.0,23941.0,23977.0,23658.0,23616.0,23267.0,23106.0,23451.0,23415.0,23167.0,21395.0459398546,21048.0,20897.7694,20559.7465,19451.7384,19407.6453,20939.6436,20815.22,20524.1599,20543.1935
김천시 - 논,Statistics,837.5,837.5,788.6,719.0,713.7,703.0,694.0,1150.0,1148.0,1123.0,1120.0,1180.0,1136.0,1097.0,1039.0,989.0,884.0,798.0,757.0,9009.0,8662.0,8379.0,8163.0,8009.0,7940.0,8020.0,7903.0,7778.0,7721.0,7636.0,7628.0,7518.0,7161.0,7064.0,6928.0,6650.0,6592.0,6434.0,6443.0,5816.4014031578,5713.0,5551.4591,5518.5715,5478.8869,5354.2974,4134.2279,4158.95,4078.7144,4056.9344
김포군 - 논,Statistics,11841.1,11858.0,11769.0,11796.9,11738.3,11732.0,11815.0,11892.0,12287.0,12305.0,12323.0,12673.0,10988.0,10958.0,11020.0,10939.0,10802.0,10700.0,10482.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김포시 - 논,Statistics,,,,,,,,,,,,,,,,,,,,8987.0,8518.0,8377.0,8230.0,8233.0,8192.0,8164.0,8017.0,7828.0,7676.0,7593.0,7252.0,6995.0,6998.0,6354.0,6038.0,5841.0,5909.0,5642.0,5517.0,5488.2448990529,5336.0,5222.6832,5165.2056,5114.7885,5137.8808,4620.0054,4361.51,4224.4523,4187.1215
김해군 - 논,Statistics,17170.3,13346.6,13373.6,13280.1,13169.0,10733.0,10738.0,10747.0,10767.0,10745.0,10698.0,11798.0,9196.0,9144.0,9083.0,9051.0,9043.0,8945.0,8660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김해시 - 논,Statistics,,,,,,2430.0,2423.0,2416.0,2395.0,2359.0,2316.0,2461.0,2438.0,2412.0,2339.0,2302.0,2038.0,1950.0,1864.0,9291.0,8554.0,8342.0,8203.0,8206.0,7817.0,7719.0,7569.0,7468.0,7372.0,7337.0,7279.0,6897.0,6779.0,6407.0,6059.0,5839.0,6226.0,6084.0,5608.0,5080.4368105172,4929.0,4706.3617,4449.5914,4415.0669,4343.1677,3462.8472,3388.11,3395.1213,3427.7117
나주군 - 논,Statistics,16036.2,17425.2,17694.2,17712.7,17723.0,15993.0,16016.0,16107.0,16202.0,16291.0,16398.0,15029.0,15216.0,15313.0,15833.0,15679.0,15603.0,15587.0,15395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
