item,category,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
거제시 - 주거지역 - 1인당 도시지역면적 현황,Statistics,70.69,62.97,64.38,62.49,62.47476506,65.0347816,63.06728194,61.63,62.13,60.22,60.71,61.49,69.16,66.49,67.17,68.43,69.93,69.17
거창군 - 1인당면적 녹지지역 - 1인당 도시지역면적 현황,Statistics,615.83,616.08,644.51,646.63,635.4324202,638.6435106,637.2013086,631.77,657.7,623.99,622.79,626.42,621.51,619.17,625.99,624.76,631.86,635.59
거창군 - 1인당면적 주+상+공 - 1인당 도시지역면적 현황,Statistics,129.68,129.73,147.55,148.03,145.468685,163.2105157,162.7972624,161.41,167.87,159.26,159.0,160.0507037,158.79,158.2,159.94,159.63,161.44,169.99
거창군 - 공업지역 - 1인당 도시지역면적 현황,Statistics,11.38,11.38,14.81,14.86,14.59973434,31.96989042,31.88894181,31.62,32.79,31.11,31.05,31.34,31.09,30.98,31.32,31.26,31.61,39.39
거창군 - 도시지역 면적 - 1인당 도시지역면적 현황,Statistics,31158000.0,31158000.0,31158735.0,31158735.0,31158735.0,31904168.0,31911143.0,31911143.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,32210186.0
거창군 - 도시지역 인구 - 1인당 도시지역면적 현황,Statistics,41794.0,41777.0,39339.0,39210.0,39901.0,39788.0,39889.0,40232.0,38648.0,40736.0,40812.0,40569.0,40890.0,41044.0,40597.0,40677.0,40220.0,39984.0
거창군 - 상업지역 - 1인당 도시지역면적 현황,Statistics,8.32,8.32,8.84,8.87,8.715069798,8.739821052,8.717691594,8.64,9.0,8.54,8.52,8.57,8.5,8.47,8.57,8.55,8.65,8.7
거창군 - 주거지역 - 1인당 도시지역면적 현황,Statistics,109.98,110.03,123.9,124.31,122.1538809,122.5008043,122.190629,121.15,126.08,119.61,119.43,120.14,119.2,118.75,120.06,119.82,121.18,121.9
경기도 - 1인당면적 녹지지역 - 1인당 도시지역면적 현황,Statistics,259.26,258.87,250.44,246.82,237.4155075,238.7669286,235.4440112,229.6,226.64,223.34,220.14,217.85,214.86,213.05,210.07,206.51,206.06,204.09
경기도 - 1인당면적 주+상+공 - 1인당 도시지역면적 현황,Statistics,47.03,52.12,53.31,55.38,60.73609492,62.81398671,62.70845053,62.69,63.14,63.45,63.51,63.17674855,62.71,62.85,62.32,64.15,64.51,64.72
경기도 - 공업지역 - 1인당 도시지역면적 현황,Statistics,6.19,7.77,7.8,8.49,9.368923287,9.783362083,9.917923278,9.96,10.47,10.5,10.74,10.86,10.85,10.99,10.83,11.22,11.31,11.3
경기도 - 도시지역 면적 - 1인당 도시지역면적 현황,Statistics,3115751678.0,3188859434.0,3236168746.0,3239452978.0,3264237533.0,3330278692.0,3331056000.0,3339583747.0,3348294610.0,3357453240.0,3367486105.0,3371075153.0,3376013136.0,3377274307.0,3378712218.0,3385441488.0,3386898994.0,3370827754.0
경기도 - 도시지역 인구 - 1인당 도시지역면적 현황,Statistics,9747529.0,10049410.0,10280016.0,10495316.0,10827503.0,10990306.0,11119389.0,11381947.0,11508728.0,11687832.0,11855896.0,11976132.0,12143441.0,12221217.0,12380374.0,12489790.0,12499793.0,12523221.0
경기도 - 상업지역 - 1인당 도시지역면적 현황,Statistics,3.98,4.2,4.37,4.55,4.960368517,5.270351708,5.300951518,5.29,5.29,5.15,5.19,5.14,5.13,5.13,5.1,5.29,5.3,5.31
경기도 - 주거지역 - 1인당 도시지역면적 현황,Statistics,36.86,40.15,41.13,42.34,46.40680312,47.76027292,47.48957573,47.44,47.38,47.8,47.58,47.17,46.73,46.72,46.39,47.64,47.9,48.11
경산시 - 1인당면적 녹지지역 - 1인당 도시지역면적 현황,Statistics,394.39,389.8,386.56,403.94,396.7952342,391.817985,387.617734,387.32,379.94,375.68,373.79,371.74,370.13,403.51,402.7,387.17,387.15,387.16
경산시 - 1인당면적 주+상+공 - 1인당 도시지역면적 현황,Statistics,111.25,109.95,109.04,114.34,112.3267409,111.0178212,109.7621203,122.91,129.82,128.21,127.57,126.8657624,126.32,126.86,126.6,130.64,130.63,130.64
경산시 - 공업지역 - 1인당 도시지역면적 현황,Statistics,26.16,25.86,25.64,27.47,26.98082238,26.7252518,26.43527307,36.45,43.58,43.08,42.86,42.63,42.44,41.47,41.38,41.12,41.12,41.12
경산시 - 도시지역 면적 - 1인당 도시지역면적 현황,Statistics,103931000.0,103931000.0,103931000.0,108690036.0,108686341.0,110915169.0,110915169.0,114831835.0,114831835.0,114831835.0,114831835.0,114831835.0,114831835.0,123741231.0,123741231.0,123728319.0,123728319.0,123728319.0
경산시 - 도시지역 인구 - 1인당 도시지역면적 현황,Statistics,205543.0,207966.0,209710.0,209710.0,213478.0,216147.0,218518.0,220690.0,225270.0,227892.0,229041.0,230308.0,231308.0,233300.0,233768.0,238948.0,238960.0,238950.0
경산시 - 상업지역 - 1인당 도시지역면적 현황,Statistics,7.8,7.71,7.65,7.52,7.388063407,7.296798012,7.217625093,7.64,7.56,7.51,7.48,7.44,7.4,7.86,7.84,7.82,7.82,7.82
경산시 - 주거지역 - 1인당 도시지역면적 현황,Statistics,77.28,76.38,75.75,79.36,77.95785514,76.9957714,76.10922212,78.82,78.68,77.62,77.23,76.8,76.47,77.54,77.38,81.69,81.68,81.69
경상남도 - 1인당면적 녹지지역 - 1인당 도시지역면적 현황,Statistics,557.71,550.87,570.26,538.59,535.3146987,528.4996905,527.4189886,524.83,522.65,517.73,512.36,509.89,509.37,507.78,509.78,512.9,512.8,515.97
경상남도 - 1인당면적 주+상+공 - 1인당 도시지역면적 현황,Statistics,114.19,115.46,122.82,120.4,125.7130748,129.0116584,131.2208319,132.1,133.08,133.57,132.11,133.8928528,135.37,135.28,135.41,137.65,141.06,142.54
경상남도 - 공업지역 - 1인당 도시지역면적 현황,Statistics,31.33,31.76,34.72,37.06,42.0224011,43.23940962,45.17960171,46.19,46.83,47.63,46.59,48.38,48.43,48.45,48.17,49.8,51.8,52.85
경상남도 - 도시지역 면적 - 1인당 도시지역면적 현황,Statistics,1848318893.0,1852938472.0,1956889974.0,1963756963.0,1877455242.0,1879998259.0,1887860832.0,1893863908.0,1892833064.0,1896271107.0,1889759767.0,1892605781.0,2007719820.0,2008568781.0,2004845346.0,2007710621.0,2007539323.0,2009783733.0
경상남도 - 도시지역 인구 - 1인당 도시지역면적 현황,Statistics,2684762.0,2712749.0,2617167.0,2771511.0,2780310.0,2799687.0,2809177.0,2825666.0,2829119.0,2853794.0,2883962.0,2893244.0,2894899.0,2902685.0,2891466.0,2867756.0,2858005.0,2843389.0
경상남도 - 상업지역 - 1인당 도시지역면적 현황,Statistics,9.79,9.8,10.46,9.87,9.902441814,9.952993674,10.06735175,10.11,10.23,10.26,10.16,10.13,10.17,10.15,10.19,10.32,10.3,10.57
경상남도 - 주거지역 - 1인당 도시지역면적 현황,Statistics,73.07,73.9,77.64,73.47,73.78823189,75.81925515,75.97387847,75.8,76.02,75.68,75.36,75.38,76.76,76.68,77.05,77.54,78.96,79.12
경상북도 - 1인당면적 녹지지역 - 1인당 도시지역면적 현황,Statistics,640.67,641.6,644.41,647.29,667.1055678,651.3148634,660.4617555,657.48,660.65,654.32,649.41,648.27,651.2,657.67,668.05,669.91,670.14,669.87
경상북도 - 1인당면적 주+상+공 - 1인당 도시지역면적 현황,Statistics,146.99,150.04,152.02,162.25,171.7285265,170.1484948,177.3118353,179.29,181.77,181.12,182.46,184.5790974,189.5,190.01,193.72,195.69,196.07,196.98
경상북도 - 공업지역 - 1인당 도시지역면적 현황,Statistics,46.96,48.06,49.03,54.89,62.42845248,62.9599208,64.86047297,66.68,68.07,68.32,69.07,70.74,73.37,73.35,74.97,75.69,75.98,76.81
경상북도 - 도시지역 면적 - 1인당 도시지역면적 현황,Statistics,1769000750.0,1770667200.0,1773005400.0,1768211310.0,1831356118.0,1834757408.0,1842786082.0,1847438673.0,1849864949.0,1850243160.0,1855416781.0,1856748798.0,1866786485.0,1879985260.0,1879972483.0,1879078335.0,1877732907.0,1870996639.0
경상북도 - 도시지역 인구 - 1인당 도시지역면적 현황,Statistics,2081581.0,2076898.0,2065202.0,2053957.0,2059652.0,2104633.0,2072129.0,2081294.0,2072868.0,2091548.0,2102922.0,2103299.0,2095784.0,2094138.0,2059868.0,2053158.0,2051295.0,2042020.0
경상북도 - 상업지역 - 1인당 도시지역면적 현황,Statistics,11.71,11.83,11.89,12.08,12.31461189,12.04850774,12.65590414,12.69,12.83,12.75,12.73,12.9,13.08,13.23,13.46,13.52,13.52,13.54
경상북도 - 주거지역 - 1인당 도시지역면적 현황,Statistics,88.32,90.15,91.1,95.28,96.98546211,95.14006623,99.7954582,99.92,100.87,100.04,100.66,100.94,103.05,103.43,105.29,106.48,106.58,106.62
경주시 - 1인당면적 녹지지역 - 1인당 도시지역면적 현황,Statistics,1601.14,1608.28,1625.74,1637.15,1852.797333,1864.033616,1854.087622,1857.22,1875.44,1881.32,1882.64,1893.97,1884.05,1894.08,1908.25,1916.38,1907.46,1923.91
경주시 - 1인당면적 주+상+공 - 1인당 도시지역면적 현황,Statistics,180.3,181.11,183.07,184.36,205.4803586,206.7257231,207.8562933,212.38,215.08,215.75,223.72,226.1481287,256.1,257.61,259.54,260.46,259.25,261.49
경주시 - 공업지역 - 1인당 도시지역면적 현황,Statistics,81.15,81.15,82.03,82.61,94.13717452,94.70803383,96.42645375,100.6,102.16,102.49,110.34,112.08,139.49,140.29,141.34,141.25,140.59,141.8
경주시 - 도시지역 면적 - 1인당 도시지역면적 현황,Statistics,405764002.0,405764002.0,405764002.0,405764002.0,458094112.0,458094112.0,458549162.0,458797176.0,458797176.0,458797176.0,460253134.0,460490505.0,464832544.0,464678805.0,464678805.0,464824021.0,463852114.0,463852114.0
경주시 - 도시지역 인구 - 1인당 도시지역면적 현황,Statistics,227285.0,226276.0,223846.0,222286.0,221980.0,220642.0,221806.0,221105.0,218893.0,218209.0,217937.0,216636.0,216636.0,215403.0,213804.0,213004.0,214000.0,212170.0
경주시 - 상업지역 - 1인당 도시지역면적 현황,Statistics,11.34,11.39,11.51,11.59,13.06665465,13.14589244,13.07690504,13.12,13.25,13.29,13.31,13.39,13.56,13.64,13.74,13.75,13.68,13.8
경주시 - 주거지역 - 1인당 도시지역면적 현황,Statistics,87.81,88.56,89.52,90.15,98.27652942,98.87179685,98.35293455,98.66,99.66,99.97,100.07,100.68,103.05,103.68,104.46,105.47,104.98,105.88
계룡시 - 1인당면적 녹지지역 - 1인당 도시지역면적 현황,Statistics,1349.69,1315.88,1091.74,1057.3,1049.249675,1052.817056,1072.746691,1088.28,1099.71,1063.56,1041.52,1009.94,1015.37,1033.33,1036.93,1024.73,998.38,951.6
