item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
경남 진해시 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,0.74,4.72,6.63,0.94,3.83,2.9,1.24,3.73,1.45,,,,,,,,,,,,,,
경남 진해시 - 전년 총인구＜br＞(B),Statistics,134549.0,135539.0,141936.0,151348.0,152773.0,158624.0,163221.0,165252.0,171421.0,173911.0,,,,,,,,,,,,,
경남 창원시 - 당해년 총인구＜br＞(A),Statistics,528152.0,517577.0,514463.0,511280.0,508499.0,509535.0,510120.0,509801.0,508984.0,,,,,,,,,,,,,,
경남 창원시 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,0.96,-2.0,-0.6,-0.62,-0.54,0.2,0.11,-0.06,-0.16,,,,,,,,,,,,,,
경남 창원시 - 전년 총인구＜br＞(B),Statistics,523142.0,528152.0,517577.0,514463.0,511280.0,508499.0,509535.0,510120.0,509801.0,508984.0,,,,,,,,,,,,,
경산시 - 당해년 총인구＜br＞(A),Statistics,218638.0,221196.0,219591.0,223357.0,231677.0,239966.0,242744.0,243863.0,242809.0,247185.0,250352.0,252818.0,255588.0,261191.0,264570.0,266486.0,268679.0,272070.0,274898.0,274117.0,278845.0,279717.0,281470.0
경산시 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,1.03,1.17,-0.73,1.72,3.72,3.58,1.16,0.46,-0.43,1.8,1.28,0.99,1.1,2.19,1.29,0.72,0.82,1.26,1.04,-0.28,1.72,0.31,0.63
경산시 - 전년 총인구＜br＞(B),Statistics,216399.0,218638.0,221196.0,219591.0,223357.0,231677.0,239966.0,242744.0,243863.0,242809.0,247185.0,250352.0,252818.0,255588.0,261191.0,264570.0,266486.0,268679.0,272070.0,274898.0,274117.0,278845.0,279717.0
경상남도 - 당해년 총인구＜br＞(A),Statistics,3124123.0,3143475.0,3162190.0,3168734.0,3187110.0,3208810.0,3239342.0,3276962.0,3303398.0,3348254.0,3374725.0,3383685.0,3402946.0,3428035.0,3447018.0,3454892.0,3455540.0,3448292.0,3438676.0,3407455.0,3377331.0,3350883.0,3340470.0
경상남도 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,0.5,0.62,0.6,0.21,0.58,0.68,0.95,1.16,0.81,1.36,0.79,0.27,0.57,0.74,0.55,0.23,0.02,-0.21,-0.28,-0.91,-0.88,-0.78,-0.31
