item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
계룡시 - 전체 교통사고발생건수＜br＞(B),Statistics,103.0,95.0,91.0,76.0,88.0,80.0,73.0,83.0,81.0,72.0,71.0,55.0,54.0,56.0,47.0,59.0,78.0
계양구 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,79.0,118.0,143.0,125.0,136.0,89.0,66.0,58.0,57.0,55.0,38.0,42.0,31.0,44.0,56.0,23.0,20.0
계양구 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,7.1,11.3,12.9,12.6,15.0,9.9,6.7,6.0,6.0,6.8,4.7,4.8,3.5,5.9,9.1,3.8,2.8
계양구 - 전체 교통사고발생건수＜br＞(B),Statistics,1114.0,1041.0,1112.0,991.0,907.0,895.0,987.0,969.0,947.0,807.0,802.0,879.0,894.0,749.0,613.0,609.0,705.0
고령군 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,9.0,11.0,11.0,4.0,8.0,4.0,12.0,3.0,4.0,5.0,6.0,2.0,1.0,8.0,2.0,,4.0
고령군 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,4.2,4.5,4.8,1.8,3.9,2.1,6.0,1.3,1.9,2.7,3.2,1.2,0.6,4.5,1.3,,6.7
고령군 - 전체 교통사고발생건수＜br＞(B),Statistics,212.0,242.0,231.0,228.0,206.0,190.0,201.0,237.0,214.0,185.0,189.0,163.0,156.0,177.0,154.0,114.0,60.0
고성군 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,5.0,3.0,8.0,5.0,1.0,5.0,3.0,3.0,6.0,1.0,7.0,3.0,4.0,3.0,2.0,2.0,3.0
고성군 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,3.0,1.9,4.5,3.3,0.5,2.8,1.9,1.7,4.6,0.9,2.9,2.2,3.1,1.4,1.4,1.8,3.1
고성군 - 전체 교통사고발생건수＜br＞(B),Statistics,167.0,160.0,178.0,151.0,189.0,178.0,159.0,174.0,131.0,107.0,135.0,138.0,129.0,119.0,146.0,111.0,96.0
고양시 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,251.0,365.0,287.0,208.0,166.0,189.0,180.0,232.0,138.0,189.0,233.0,238.0,210.0,202.0,140.0,97.0,103.0
고양시 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,7.3,10.2,8.4,6.2,4.7,5.4,4.6,5.9,3.8,5.3,5.9,6.1,5.9,5.7,3.9,2.7,3.0
고양시 - 전체 교통사고발생건수＜br＞(B),Statistics,3451.0,3562.0,3436.0,3354.0,3532.0,3532.0,3875.0,3929.0,3642.0,3593.0,3950.0,3916.0,3586.0,3532.0,3588.0,3603.0,3489.0
고창군 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,16.0,8.0,2.0,13.0,8.0,9.0,6.0,7.0,3.0,6.0,5.0,9.0,7.0,9.0,3.0,2.0,3.0
고창군 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,4.9,2.8,0.8,5.7,3.1,4.7,2.4,3.2,1.7,3.4,3.9,5.2,4.8,6.7,3.1,1.3,2.5
고창군 - 전체 교통사고발생건수＜br＞(B),Statistics,324.0,285.0,258.0,230.0,259.0,192.0,251.0,217.0,180.0,175.0,127.0,173.0,147.0,134.0,96.0,149.0,120.0
고흥군 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,3.0,4.0,5.0,2.0,7.0,9.0,7.0,7.0,1.0,7.0,3.0,3.0,5.0,7.0,4.0,8.0,
고흥군 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,1.1,1.4,1.9,0.8,2.5,3.3,2.6,2.2,0.4,2.1,1.0,0.9,1.6,2.5,1.6,4.0,
고흥군 - 전체 교통사고발생건수＜br＞(B),Statistics,264.0,281.0,263.0,245.0,275.0,276.0,268.0,317.0,277.0,335.0,287.0,329.0,317.0,275.0,255.0,198.0,142.0
곡성군 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,3.0,4.0,2.0,3.0,5.0,4.0,4.0,2.0,3.0,2.0,1.0,1.0,,3.0,4.0,,2.0
곡성군 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,2.1,2.4,1.4,2.5,3.7,2.8,2.8,1.5,2.3,1.3,0.8,0.7,,2.7,3.9,,2.2
곡성군 - 전체 교통사고발생건수＜br＞(B),Statistics,142.0,165.0,140.0,119.0,135.0,142.0,144.0,136.0,132.0,150.0,122.0,153.0,122.0,110.0,102.0,125.0,90.0
공주시 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,32.0,27.0,36.0,28.0,28.0,19.0,22.0,32.0,20.0,20.0,9.0,13.0,17.0,13.0,23.0,12.0,14.0
공주시 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,6.3,5.3,6.7,5.5,6.5,4.3,5.0,6.8,3.6,3.3,1.4,2.1,3.3,2.8,5.2,2.7,3.7
공주시 - 전체 교통사고발생건수＜br＞(B),Statistics,510.0,505.0,539.0,509.0,433.0,443.0,439.0,469.0,561.0,598.0,630.0,608.0,514.0,461.0,445.0,439.0,378.0
과천시 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,6.0,11.0,19.0,14.0,4.0,8.0,7.0,5.0,3.0,5.0,5.0,6.0,6.0,6.0,8.0,3.0,
과천시 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,3.0,4.5,7.5,6.0,1.8,3.9,3.2,2.0,1.3,2.2,2.1,2.5,3.2,3.6,3.8,2.0,
과천시 - 전체 교통사고발생건수＜br＞(B),Statistics,203.0,246.0,252.0,235.0,222.0,205.0,217.0,247.0,227.0,227.0,239.0,237.0,187.0,168.0,208.0,151.0,191.0
관악구 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,61.0,60.0,68.0,56.0,40.0,33.0,33.0,47.0,18.0,19.0,21.0,23.0,28.0,17.0,29.0,31.0,28.0
관악구 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,3.1,3.0,3.7,3.2,2.3,1.9,1.9,2.9,1.3,1.5,1.6,1.7,1.9,1.2,2.5,3.2,2.2
관악구 - 전체 교통사고발생건수＜br＞(B),Statistics,1944.0,1979.0,1851.0,1737.0,1713.0,1753.0,1716.0,1625.0,1408.0,1251.0,1300.0,1363.0,1444.0,1419.0,1172.0,980.0,1254.0
광명시 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,39.0,38.0,40.0,43.0,28.0,32.0,35.0,41.0,22.0,30.0,27.0,21.0,35.0,14.0,24.0,20.0,22.0
광명시 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,5.1,5.0,4.7,5.1,3.4,4.1,3.7,3.4,2.1,3.1,2.5,2.0,3.6,1.4,2.5,1.9,2.0
광명시 - 전체 교통사고발생건수＜br＞(B),Statistics,770.0,763.0,843.0,846.0,818.0,776.0,936.0,1195.0,1038.0,955.0,1076.0,1068.0,964.0,992.0,950.0,1047.0,1094.0
광산구 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,59.0,86.0,86.0,107.0,117.0,91.0,75.0,107.0,84.0,55.0,65.0,52.0,58.0,65.0,46.0,39.0,39.0
광산구 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,3.3,4.3,4.2,5.3,5.2,4.4,3.6,5.4,4.3,2.8,3.3,2.4,2.8,2.9,2.2,2.1,2.1
광산구 - 전체 교통사고발생건수＜br＞(B),Statistics,1802.0,2006.0,2063.0,2017.0,2248.0,2087.0,2080.0,2000.0,1959.0,1957.0,1960.0,2129.0,2088.0,2204.0,2077.0,1902.0,1893.0
광양시 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,40.0,47.0,46.0,32.0,45.0,27.0,42.0,31.0,17.0,29.0,32.0,32.0,76.0,57.0,62.0,23.0,40.0
광양시 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,4.8,5.5,5.1,3.8,5.2,3.0,4.8,3.6,2.2,4.2,4.8,4.3,11.5,9.9,10.6,3.6,6.5
광양시 - 전체 교통사고발생건수＜br＞(B),Statistics,835.0,848.0,898.0,845.0,868.0,886.0,873.0,867.0,762.0,683.0,666.0,739.0,663.0,575.0,584.0,632.0,617.0
광주광역시 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,406.0,579.0,689.0,583.0,576.0,445.0,394.0,445.0,422.0,440.0,375.0,340.0,357.0,263.0,295.0,323.0,319.0
광주광역시 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,4.9,6.3,7.7,7.0,6.7,5.5,4.8,5.7,5.7,5.9,5.0,4.2,4.6,3.5,4.1,4.6,4.6
광주광역시 - 전체 교통사고발생건수＜br＞(B),Statistics,8260.0,9222.0,8894.0,8328.0,8600.0,8036.0,8194.0,7864.0,7354.0,7499.0,7459.0,8169.0,7718.0,7543.0,7122.0,6972.0,6908.0
광주시 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,90.0,95.0,52.0,62.0,59.0,37.0,41.0,36.0,35.0,47.0,54.0,39.0,44.0,60.0,58.0,44.0,46.0
광주시 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,8.4,8.9,5.5,6.0,5.2,3.4,3.4,2.9,2.5,3.4,3.2,2.1,2.3,2.6,2.7,2.1,2.2
광주시 - 전체 교통사고발생건수＜br＞(B),Statistics,1071.0,1063.0,948.0,1026.0,1145.0,1093.0,1189.0,1244.0,1388.0,1394.0,1691.0,1867.0,1930.0,2265.0,2178.0,2129.0,2106.0
광진구 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,52.0,73.0,49.0,56.0,76.0,44.0,35.0,42.0,31.0,28.0,32.0,29.0,31.0,31.0,25.0,17.0,24.0
광진구 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,3.2,4.4,3.2,3.9,5.1,3.4,2.4,3.4,3.0,2.6,2.9,3.0,3.6,3.4,3.5,2.4,3.1
광진구 - 전체 교통사고발생건수＜br＞(B),Statistics,1648.0,1656.0,1540.0,1430.0,1494.0,1303.0,1480.0,1235.0,1045.0,1064.0,1108.0,973.0,869.0,922.0,708.0,717.0,785.0
괴산군 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,6.0,6.0,3.0,2.0,2.0,5.0,1.0,3.0,3.0,3.0,5.0,1.0,6.0,7.0,8.0,3.0,4.0
