item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
부천시 - 외국인수,Statistics,8804.0,8038.0,10163.0,12532.0,14359.0,15032.0,15671.0,17048.0,16005.0,17187.0,19159.0,20178.0,20405.0,21345.0,24338.0,25689.0,24405.0,23779.0,24187.0,26388.0
부평구 - 외국인수,Statistics,3985.0,4145.0,5347.0,6726.0,7814.0,7780.0,7759.0,8194.0,7746.0,8328.0,9329.0,10128.0,10933.0,12221.0,13497.0,14549.0,13919.0,13781.0,14301.0,15463.0
북구 - 외국인수,Statistics,660.0,784.0,939.0,1300.0,1469.0,1379.0,1335.0,1251.0,1148.0,1161.0,1241.0,1285.0,1602.0,1829.0,2314.0,2280.0,2050.0,1887.0,1804.0,1896.0
사상구 - 외국인수,Statistics,2529.0,2426.0,2939.0,3368.0,3788.0,3701.0,3830.0,4102.0,3953.0,4217.0,4411.0,4523.0,4825.0,4912.0,5181.0,4942.0,4119.0,4056.0,4377.0,5466.0
사천시 - 외국인수,Statistics,547.0,637.0,932.0,1217.0,1654.0,1830.0,2075.0,2555.0,2647.0,2871.0,3154.0,3117.0,3132.0,3113.0,3319.0,3417.0,2927.0,2932.0,3127.0,3553.0
사하구 - 외국인수,Statistics,2671.0,2595.0,3243.0,3678.0,4045.0,3830.0,3967.0,4208.0,4043.0,4133.0,4488.0,4428.0,4363.0,4131.0,4271.0,4260.0,3818.0,3535.0,3836.0,4391.0
산청군 - 외국인수,Statistics,114.0,166.0,234.0,287.0,312.0,318.0,309.0,359.0,388.0,454.0,514.0,584.0,603.0,631.0,677.0,608.0,573.0,511.0,619.0,869.0
삼척시 - 외국인수,Statistics,276.0,300.0,437.0,465.0,477.0,496.0,538.0,536.0,731.0,760.0,625.0,695.0,772.0,825.0,789.0,773.0,696.0,635.0,748.0,851.0
상주시 - 외국인수,Statistics,358.0,448.0,559.0,666.0,760.0,782.0,833.0,816.0,810.0,824.0,906.0,893.0,902.0,913.0,940.0,990.0,910.0,926.0,1335.0,1857.0
서구 - 외국인수,Statistics,712.0,712.0,773.0,863.0,1017.0,1026.0,1028.0,1106.0,1212.0,1261.0,1391.0,1465.0,1580.0,1673.0,1843.0,1877.0,1691.0,1766.0,1983.0,2348.0
서귀포시 - 외국인수,Statistics,,,981.0,1224.0,1485.0,1512.0,1788.0,2325.0,2979.0,3572.0,4713.0,6058.0,6933.0,7988.0,8996.0,9123.0,8051.0,6970.0,7387.0,9014.0
서대문구 - 외국인수,Statistics,6115.0,6771.0,7632.0,8599.0,9043.0,9198.0,9330.0,9678.0,9620.0,9957.0,10485.0,10964.0,11677.0,12228.0,12767.0,13774.0,10779.0,10840.0,13217.0,14398.0
서산시 - 외국인수,Statistics,759.0,989.0,1390.0,1616.0,2013.0,2352.0,2587.0,2856.0,2899.0,3114.0,3309.0,3616.0,3974.0,4091.0,4459.0,4461.0,4078.0,3854.0,4398.0,5121.0
서울특별시 - 외국인수,Statistics,114685.0,129660.0,175036.0,229072.0,255207.0,255749.0,262902.0,279220.0,247108.0,244410.0,266360.0,274957.0,273441.0,267153.0,283984.0,281876.0,242623.0,226569.0,239297.0,252765.0
서천군 - 외국인수,Statistics,310.0,354.0,476.0,564.0,689.0,606.0,763.0,883.0,916.0,1007.0,1159.0,1233.0,1216.0,1247.0,1367.0,1400.0,1277.0,1270.0,1435.0,1970.0
서초구 - 외국인수,Statistics,5884.0,5139.0,5704.0,5982.0,5745.0,5650.0,5301.0,5450.0,4954.0,4778.0,4610.0,4494.0,4285.0,4299.0,4212.0,4281.0,3899.0,3888.0,4126.0,4414.0
성남시 - 외국인수,Statistics,9004.0,9683.0,12796.0,14243.0,15902.0,16309.0,16334.0,17126.0,15656.0,15815.0,17607.0,18238.0,17579.0,16936.0,17933.0,17618.0,15184.0,14089.0,14471.0,16219.0
성동구 - 외국인수,Statistics,4879.0,4947.0,6458.0,8085.0,8467.0,8006.0,7799.0,8063.0,7264.0,7234.0,7805.0,8062.0,7902.0,7903.0,8242.0,8090.0,6949.0,6682.0,7234.0,7405.0
성북구 - 외국인수,Statistics,3919.0,4429.0,5668.0,7385.0,8062.0,8429.0,8760.0,9304.0,8782.0,8758.0,9255.0,10285.0,11262.0,11352.0,11819.0,12094.0,9903.0,9614.0,11587.0,12566.0
성주군 - 외국인수,Statistics,677.0,722.0,873.0,954.0,940.0,927.0,990.0,1069.0,1140.0,1354.0,1528.0,1636.0,1681.0,1708.0,1651.0,1698.0,1556.0,1435.0,1633.0,1953.0
세종특별자치시 - 외국인수,Statistics,,,,,,,,,2360.0,2475.0,2730.0,3481.0,3745.0,4125.0,4940.0,5700.0,5076.0,4884.0,5336.0,5786.0
속초시 - 외국인수,Statistics,453.0,459.0,611.0,734.0,750.0,746.0,732.0,744.0,700.0,694.0,762.0,986.0,877.0,940.0,1012.0,1038.0,1009.0,1034.0,1205.0,1364.0
송파구 - 외국인수,Statistics,4146.0,4183.0,5522.0,6815.0,7618.0,7820.0,7865.0,8271.0,7035.0,6540.0,7056.0,7178.0,7115.0,6677.0,6872.0,6780.0,5966.0,5627.0,5713.0,5859.0
수성구 - 외국인수,Statistics,1158.0,1256.0,1377.0,1531.0,1531.0,1474.0,1380.0,1410.0,1378.0,1467.0,1471.0,1480.0,1539.0,1532.0,1640.0,1720.0,1673.0,1633.0,1658.0,1704.0
수영구 - 외국인수,Statistics,832.0,765.0,738.0,847.0,952.0,939.0,941.0,985.0,1012.0,1058.0,1140.0,1211.0,1259.0,1265.0,1320.0,1280.0,1230.0,1292.0,1385.0,1526.0
수원시 - 외국인수,Statistics,8303.0,9032.0,13365.0,19293.0,23253.0,25300.0,27146.0,29708.0,27697.0,30352.0,34941.0,37351.0,37183.0,37852.0,41046.0,40557.0,35835.0,33251.0,34094.0,36174.0
순창군 - 외국인수,Statistics,99.0,134.0,178.0,208.0,263.0,292.0,294.0,294.0,288.0,299.0,339.0,363.0,365.0,361.0,353.0,395.0,354.0,313.0,360.0,415.0
순천시 - 외국인수,Statistics,774.0,1027.0,1224.0,1401.0,1606.0,1591.0,1575.0,1604.0,1653.0,1677.0,1711.0,1829.0,1849.0,1858.0,2008.0,2124.0,2049.0,2134.0,2513.0,2806.0
시흥시 - 외국인수,Statistics,12320.0,10744.0,13171.0,14864.0,15408.0,15837.0,17308.0,20167.0,20960.0,26052.0,29983.0,31514.0,31299.0,32031.0,34640.0,34697.0,32410.0,31523.0,33139.0,37188.0
신안군 - 외국인수,Statistics,55.0,68.0,109.0,169.0,277.0,393.0,409.0,398.0,382.0,512.0,631.0,726.0,723.0,767.0,773.0,828.0,764.0,734.0,887.0,1210.0
아산시 - 외국인수,Statistics,4119.0,4017.0,5552.0,6325.0,7387.0,7875.0,9361.0,10888.0,11237.0,12056.0,13382.0,13406.0,14670.0,16204.0,17420.0,18679.0,16972.0,16373.0,18032.0,21008.0
안동시 - 외국인수,Statistics,559.0,642.0,986.0,1323.0,1418.0,1434.0,1437.0,1333.0,1418.0,1443.0,1397.0,1370.0,1335.0,1465.0,1533.0,1481.0,1310.0,1299.0,1563.0,1774.0
안산시 - 외국인수,Statistics,20089.0,18228.0,24256.0,29673.0,32816.0,34147.0,38971.0,44316.0,43465.0,49249.0,53755.0,55719.0,54497.0,53733.0,56787.0,56467.0,51270.0,47412.0,49117.0,52221.0
안성시 - 외국인수,Statistics,2729.0,2931.0,4027.0,4713.0,5720.0,6088.0,6938.0,7531.0,7311.0,8032.0,9056.0,9251.0,9851.0,10656.0,11375.0,11802.0,11222.0,10874.0,12090.0,13815.0
안양시 - 외국인수,Statistics,4150.0,4076.0,5379.0,6491.0,7051.0,6964.0,7117.0,7585.0,6818.0,6810.0,7500.0,7662.0,7238.0,6933.0,7408.0,7420.0,6543.0,6071.0,6119.0,6452.0
