item,category,2009,2011,2013,2015,2017,2019,2021,2023
대구광역시 - 계 - - 매우 불만족,Statistics,14.4,16.2,13.5,9.8,11.1,8.8,12.953,12.201
대구광역시 - 계 - - 보통,Statistics,33.7,35.2,36.3,43.9,39.5,41.5,34.606,32.086
대구광역시 - 계 - - 약간 만족,Statistics,9.6,9.3,8.9,9.8,9.5,11.3,18.284,22.317
대구광역시 - 계 - - 약간 불만족,Statistics,40.9,38.0,40.6,35.2,38.7,37.3,32.208,31.414
대구광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구광역시 - 계 - 소득 있음,Statistics,65.9,70.7,72.3,74.9,78.0,78.4,81.475,74.74
대구광역시 - 남자 - - 매우 만족,Statistics,0.8,0.8,0.7,1.5,1.1,0.8,1.693,1.894
대구광역시 - 남자 - - 매우 불만족,Statistics,15.4,17.0,14.8,9.8,11.4,9.8,13.691,11.848
대구광역시 - 남자 - - 보통,Statistics,33.5,33.3,36.5,43.4,38.8,38.5,33.358,33.46
대구광역시 - 남자 - - 약간 만족,Statistics,9.5,10.0,8.8,9.7,9.3,12.7,18.426,21.364
대구광역시 - 남자 - - 약간 불만족,Statistics,40.8,38.9,39.2,35.5,39.4,38.2,32.833,31.434
대구광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구광역시 - 남자 - 소득 있음,Statistics,78.1,84.5,87.0,88.4,87.4,87.0,89.801,82.301
대구광역시 - 여자 - - 매우 만족,Statistics,1.9,1.9,0.8,0.8,1.3,1.6,2.248,2.084
대구광역시 - 여자 - - 매우 불만족,Statistics,13.2,15.2,11.8,9.8,10.7,7.5,12.089,12.603
대구광역시 - 여자 - - 보통,Statistics,34.0,37.8,36.0,44.6,40.3,44.9,36.068,30.519
대구광역시 - 여자 - - 약간 만족,Statistics,9.7,8.3,9.0,9.9,9.7,9.7,18.118,23.404
대구광역시 - 여자 - - 약간 불만족,Statistics,41.2,36.8,42.4,34.8,38.0,36.3,31.477,31.39
대구광역시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구광역시 - 여자 - 소득 있음,Statistics,54.5,57.7,58.7,62.3,69.2,70.2,73.494,67.651
대전광역시 - 계 - - 매우 만족,Statistics,2.6,1.5,1.7,1.8,1.4,1.8,2.387,3.503
대전광역시 - 계 - - 매우 불만족,Statistics,15.6,14.4,11.5,11.4,12.1,9.7,15.143,13.207
대전광역시 - 계 - - 보통,Statistics,39.8,39.1,41.0,43.8,39.2,39.3,32.329,33.618
대전광역시 - 계 - - 약간 만족,Statistics,10.8,10.1,11.2,10.6,12.6,12.8,24.469,26.337
대전광역시 - 계 - - 약간 불만족,Statistics,31.2,34.8,34.6,32.4,34.7,36.4,25.673,23.334
대전광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전광역시 - 계 - 소득 있음,Statistics,68.5,70.4,77.1,79.2,80.7,80.8,84.104,73.899
대전광역시 - 남자 - - 매우 만족,Statistics,2.9,1.6,2.2,1.8,1.1,1.7,2.559,4.118
대전광역시 - 남자 - - 매우 불만족,Statistics,16.6,15.5,11.1,11.4,12.0,9.4,15.0,13.291
대전광역시 - 남자 - - 보통,Statistics,37.7,39.4,41.7,42.8,39.0,40.7,31.851,32.46
대전광역시 - 남자 - - 약간 만족,Statistics,11.6,9.5,9.9,10.9,13.6,13.1,25.367,26.641
대전광역시 - 남자 - - 약간 불만족,Statistics,31.2,34.1,35.0,33.1,34.2,35.1,25.223,23.49
대전광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전광역시 - 남자 - 소득 있음,Statistics,79.9,84.2,91.7,89.6,92.1,90.1,90.746,82.691
대전광역시 - 여자 - - 매우 만족,Statistics,2.3,1.4,0.9,1.8,1.8,1.9,2.185,2.723
대전광역시 - 여자 - - 매우 불만족,Statistics,14.2,12.9,12.0,11.4,12.1,10.1,15.31,13.1
대전광역시 - 여자 - - 보통,Statistics,42.6,38.8,39.9,45.1,39.5,37.6,32.887,35.089
