item,category,2010,2012,2014,2016,2018,2020,2022,2024
인천 - 계 - 매우 나쁘다,Statistics,6.6,8.5,10.7,7.6,4.1,3.406,2.027,2.143
인천 - 계 - 매우 좋다,Statistics,6.7,7.7,9.3,8.4,12.2,15.432,15.388,15.139
인천 - 계 - 보통,Statistics,46.3,44.4,38.4,43.0,41.1,42.208,41.544,40.448
인천 - 계 - 약간 나쁘다,Statistics,20.8,16.9,17.5,19.6,14.5,10.98,9.686,9.66
인천 - 계 - 약간 좋다,Statistics,19.5,22.5,24.1,21.4,28.1,27.973,31.355,32.611
인천 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
인천 - 남자 - 매우 나쁘다,Statistics,5.7,7.9,10.1,7.6,4.3,2.982,2.188,2.513
인천 - 남자 - 매우 좋다,Statistics,7.0,6.7,9.8,7.7,11.7,14.891,15.265,14.879
인천 - 남자 - 보통,Statistics,46.7,45.1,37.3,43.1,40.7,44.528,39.685,41.821
인천 - 남자 - 약간 나쁘다,Statistics,21.7,17.6,18.5,19.0,15.5,11.74,10.947,9.604
인천 - 남자 - 약간 좋다,Statistics,18.9,22.8,24.3,22.5,27.8,25.86,31.915,31.182
인천 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
인천 - 여자 - 매우 나쁘다,Statistics,7.5,9.1,11.3,7.5,3.8,3.827,1.866,1.768
인천 - 여자 - 매우 좋다,Statistics,6.5,8.8,8.8,9.1,12.7,15.967,15.512,15.402
인천 - 여자 - 보통,Statistics,45.9,43.6,39.4,42.9,41.6,39.911,43.401,39.061
인천 - 여자 - 약간 나쁘다,Statistics,20.0,16.3,16.5,20.2,13.4,10.229,8.426,9.715
인천 - 여자 - 약간 좋다,Statistics,20.2,22.2,23.9,20.3,28.5,30.066,30.795,34.053
전국 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전국 - 계 - 매우 나쁘다,Statistics,3.8,4.0,3.8,3.8,2.2,1.37,1.379,1.143
전국 - 계 - 매우 좋다,Statistics,12.0,13.8,12.0,11.8,14.9,21.893,21.662,20.97
전국 - 계 - 보통,Statistics,40.9,39.0,41.8,41.1,37.6,33.426,33.198,33.299
전국 - 계 - 약간 나쁘다,Statistics,13.3,13.2,13.3,13.8,10.0,6.53,6.297,6.531
전국 - 계 - 약간 좋다,Statistics,29.9,30.0,29.2,29.4,35.3,36.782,37.464,38.057
전국 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전국 - 남자 - 매우 나쁘다,Statistics,3.6,3.8,3.7,3.7,2.2,1.311,1.436,1.12
전국 - 남자 - 매우 좋다,Statistics,12.2,13.9,11.8,11.7,14.8,21.713,21.425,20.609
전국 - 남자 - 보통,Statistics,40.3,39.2,41.9,41.4,37.6,33.674,32.739,33.394
전국 - 남자 - 약간 나쁘다,Statistics,13.6,13.2,13.0,13.8,10.0,6.345,6.44,6.277
전국 - 남자 - 약간 좋다,Statistics,30.2,29.9,29.6,29.4,35.5,36.957,37.96,38.6
전국 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전국 - 여자 - 매우 나쁘다,Statistics,4.0,4.1,3.8,3.9,2.3,1.428,1.322,1.166
전국 - 여자 - 매우 좋다,Statistics,11.8,13.8,12.2,11.9,15.0,22.069,21.897,21.325
전국 - 여자 - 보통,Statistics,41.4,38.8,41.7,40.9,37.7,33.182,33.654,33.206
전국 - 여자 - 약간 나쁘다,Statistics,13.1,13.3,13.6,13.8,10.0,6.711,6.155,6.781
전국 - 여자 - 약간 좋다,Statistics,29.7,30.1,28.8,29.5,35.1,36.61,36.972,37.523
전남 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전남 - 계 - 매우 나쁘다,Statistics,1.1,1.5,1.6,1.7,1.1,0.618,0.755,0.477
전남 - 계 - 매우 좋다,Statistics,27.7,23.4,20.8,17.9,27.2,35.779,31.684,33.111
전남 - 계 - 보통,Statistics,31.3,34.1,35.4,42.0,25.6,21.895,25.552,24.186
전남 - 계 - 약간 나쁘다,Statistics,9.3,6.2,9.0,9.2,4.6,2.418,2.68,2.298
전남 - 계 - 약간 좋다,Statistics,30.7,34.8,33.2,29.2,41.5,39.29,39.328,39.928
전남 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전남 - 남자 - 매우 나쁘다,Statistics,1.5,1.0,1.9,1.6,1.4,0.924,0.851,0.581
전남 - 남자 - 매우 좋다,Statistics,28.0,22.9,21.1,17.3,25.2,36.657,31.951,32.556
전남 - 남자 - 보통,Statistics,30.7,32.6,34.2,44.5,26.9,21.193,24.46,23.965
전남 - 남자 - 약간 나쁘다,Statistics,9.0,7.2,9.4,9.4,4.1,2.785,2.829,2.471
전남 - 남자 - 약간 좋다,Statistics,30.9,36.3,33.3,27.2,42.3,38.441,39.909,40.427
