item,category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
영암군 - 실업률 (％),Statistics,1.2,1.0,1.4,1.4,2.3,1.2,1.8,2.8,2.1,1.8,1.3,1.9
영양군 - 실업률 (％),Statistics,0.5,0.5,0.9,1.2,1.3,0.5,0.5,0.5,1.2,0.8,0.3,0.6
영월군 - 실업률 (％),Statistics,1.5,0.6,1.9,0.8,1.0,1.3,1.8,2.1,1.1,1.0,0.7,1.0
영주시 - 실업률 (％),Statistics,0.9,1.7,2.7,1.5,2.3,2.6,2.3,1.3,2.4,2.0,2.8,1.1
영천시 - 실업률 (％),Statistics,1.6,1.9,1.0,2.1,1.1,1.6,2.5,3.0,1.6,1.3,1.4,1.3
예산군 - 실업률 (％),Statistics,1.3,1.4,2.1,1.5,1.0,2.2,1.7,1.3,2.2,1.9,2.4,1.4
예천군 - 실업률 (％),Statistics,1.6,0.8,1.1,1.1,0.2,1.2,1.0,0.1,0.7,0.8,1.1,1.3
오산시 - 실업률 (％),Statistics,4.3,3.9,3.8,2.2,3.6,3.6,5.4,5.4,5.0,4.1,3.2,3.2
옥천군 - 실업률 (％),Statistics,1.9,1.6,2.0,0.8,1.0,1.0,1.4,1.8,1.7,0.7,1.7,2.7
완도군 - 실업률 (％),Statistics,0.2,0.1,0.8,0.4,1.0,1.3,0.9,0.6,0.4,0.1,0.2,0.1
완주군 - 실업률 (％),Statistics,1.4,1.6,1.8,1.8,3.3,1.8,0.6,2.8,2.1,2.2,2.5,3.8
용인시 - 실업률 (％),Statistics,2.5,2.8,4.6,4.5,2.7,3.6,4.1,4.1,3.9,3.0,2.6,4.1
울릉군 - 실업률 (％),Statistics,0.2,0.3,0.2,0.2,1.1,0.3,0.1,0.3,0.1,0.1,0.4,0.1
울산 남구 - 실업률 (％),Statistics,,,,,,,,,4.7,4.2,3.4,4.5
울산 동구 - 실업률 (％),Statistics,,,,,,,,,4.9,3.7,3.0,5.6
울산 북구 - 실업률 (％),Statistics,,,,,,,,,4.6,3.8,3.1,5.0
울산 울주군 - 실업률 (％),Statistics,,,,,,,,,3.6,3.2,4.1,4.7
울산 중구 - 실업률 (％),Statistics,,,,,,,,,4.4,4.2,3.9,4.4
울진군 - 실업률 (％),Statistics,0.7,0.0,0.9,1.9,1.2,0.3,1.7,1.4,2.2,1.7,1.9,3.1
원주시 - 실업률 (％),Statistics,2.7,3.2,3.7,4.0,3.2,4.3,4.8,3.3,3.5,3.4,3.0,4.1
음성군 - 실업률 (％),Statistics,1.2,0.9,2.7,2.2,1.9,2.8,2.4,2.7,2.5,2.4,2.4,2.2
의령군 - 실업률 (％),Statistics,0.9,0.1,0.6,0.4,0.5,0.2,1.3,1.9,0.8,0.8,0.6,0.5
의성군 - 실업률 (％),Statistics,0.8,1.2,0.5,0.3,0.7,1.1,0.9,0.9,0.2,0.2,0.2,0.5
의왕시 - 실업률 (％),Statistics,3.9,4.5,4.7,5.5,4.2,3.4,4.8,3.6,4.3,3.3,2.0,3.9
의정부시 - 실업률 (％),Statistics,2.0,3.0,3.5,3.9,5.0,4.6,4.3,4.0,5.1,3.3,2.8,3.5
이천시 - 실업률 (％),Statistics,2.6,2.6,3.2,3.0,2.7,2.1,2.7,2.8,3.2,1.3,2.8,3.4
익산시 - 실업률 (％),Statistics,0.5,1.3,1.4,1.3,1.0,1.9,3.4,1.6,2.8,2.1,2.6,1.7
인제군 - 실업률 (％),Statistics,0.3,0.8,2.2,1.6,0.4,1.9,1.4,2.4,1.2,0.7,1.0,1.0
인천 강화군 - 실업률 (％),Statistics,,,,,,,,,2.0,1.7,1.2,1.6
인천 계양구 - 실업률 (％),Statistics,,,,,,,,,5.5,5.0,5.0,5.6
인천 남동구 - 실업률 (％),Statistics,,,,,,,,,6.3,5.1,4.9,4.8
인천 동구 - 실업률 (％),Statistics,,,,,,,,,5.4,4.6,4.5,5.0
인천 미추홀구 - 실업률 (％),Statistics,,,,,,,,,5.9,4.3,4.0,5.3
인천 부평구 - 실업률 (％),Statistics,,,,,,,,,6.2,3.9,4.8,5.3
인천 서구 - 실업률 (％),Statistics,,,,,,,,,5.4,3.7,4.6,5.1
인천 연수구 - 실업률 (％),Statistics,,,,,,,,,5.3,3.3,4.8,5.1
인천 옹진군 - 실업률 (％),Statistics,,,,,,,,,2.2,1.0,1.5,1.0
인천 중구 - 실업률 (％),Statistics,,,,,,,,,5.2,3.6,3.0,4.5
임실군 - 실업률 (％),Statistics,0.8,1.4,1.7,2.0,0.8,1.0,2.4,1.9,1.1,1.8,1.6,0.8
장성군 - 실업률 (％),Statistics,1.2,1.0,1.6,1.9,1.3,2.0,1.6,2.1,1.0,2.0,1.0,2.3
장수군 - 실업률 (％),Statistics,0.1,1.1,0.6,0.3,0.5,0.3,1.7,0.1,1.1,1.1,0.5,0.6
장흥군 - 실업률 (％),Statistics,0.1,0.0,0.9,1.5,0.6,0.7,0.8,0.6,0.8,0.7,0.2,0.5
전주시 - 실업률 (％),Statistics,2.0,2.9,2.9,2.9,3.6,3.4,2.7,2.9,2.9,2.7,3.3,2.5
정선군 - 실업률 (％),Statistics,0.5,0.4,0.9,1.2,1.7,0.6,0.7,0.6,1.2,0.2,0.2,0.6
정읍시 - 실업률 (％),Statistics,1.4,1.8,2.2,2.2,1.9,1.8,0.8,0.9,0.9,1.1,1.5,2.0
제주시 - 실업률 (％),Statistics,2.4,3.3,3.4,2.5,2.8,1.6,2.5,2.6,3.0,2.1,2.3,2.7
제천시 - 실업률 (％),Statistics,1.4,2.1,1.9,2.2,1.2,2.4,1.7,2.3,2.1,2.2,1.7,1.7
