item,category,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
전북특별자치도 - 남자 - 취업자,Statistics,443.0,442.0,448.6,454.9,456.7,466.3,467.0,452.4,445.1,458.4,460.0,467.2,459.2,469.9,475.5,499.9,506.5,517.2,518.0,526.3,521.4,520.5,522.4,521.4,527.9,520.4,530.0,521.7
전북특별자치도 - 여자 - 취업자,Statistics,281.0,282.0,301.7,298.9,322.9,299.9,317.3,311.0,327.5,328.7,339.6,339.3,323.6,311.7,321.8,329.4,332.5,345.7,358.7,363.2,349.0,373.7,384.7,371.1,394.8,409.0,419.8,416.1
제주도 - 계 - 취업자,Statistics,258.0,236.0,254.9,259.8,270.2,279.7,281.0,281.9,280.7,286.7,286.1,283.7,281.8,280.9,298.9,304.3,318.3,331.2,344.3,363.5,368.8,374.8,389.3,365.4,389.2,391.3,400.5,395.5
제주도 - 남자 - 취업자,Statistics,143.0,131.0,135.7,137.9,142.6,151.9,150.7,151.4,149.2,154.0,155.8,159.1,155.3,154.8,164.3,166.0,175.9,183.2,186.7,197.1,201.7,208.0,210.2,198.2,213.7,211.2,212.9,212.1
제주도 - 여자 - 취업자,Statistics,115.0,105.0,119.2,121.9,127.6,127.8,130.4,130.5,131.5,132.7,130.2,124.7,126.5,126.1,134.6,138.3,142.4,148.0,157.6,166.5,167.1,166.8,179.1,167.2,175.4,180.1,187.7,183.4
충청남도 - 계 - 취업자,Statistics,771.0,757.0,792.2,771.1,806.6,848.9,872.6,886.7,910.0,929.3,946.6,920.1,936.7,958.0,983.8,1022.6,1075.9,1102.1,1130.2,1050.6,1097.7,1136.3,1114.3,1071.4,1123.1,1150.6,1151.1,1212.8
충청남도 - 남자 - 취업자,Statistics,462.0,438.0,468.4,448.6,469.3,507.8,524.0,538.8,536.9,562.1,564.4,557.1,573.8,584.2,590.6,623.4,659.1,684.6,693.7,646.1,657.7,684.4,669.8,645.4,678.9,683.0,690.6,722.3
충청남도 - 여자 - 취업자,Statistics,309.0,319.0,323.8,322.5,337.3,341.1,348.6,347.9,373.1,367.2,382.2,363.0,362.9,373.8,393.2,399.1,416.8,417.5,436.5,404.5,440.0,451.9,444.5,425.9,444.2,467.6,460.5,490.5
충청북도 - 계 - 취업자,Statistics,602.0,582.0,587.4,590.5,603.1,624.9,625.5,635.0,632.1,644.6,655.6,665.5,669.3,691.1,690.4,695.5,746.3,761.5,789.1,798.3,821.7,836.3,858.0,830.9,879.2,874.9,907.4,923.3
충청북도 - 남자 - 취업자,Statistics,369.0,344.0,351.7,356.2,366.5,377.6,377.8,375.5,368.9,380.8,402.1,393.4,391.8,401.6,406.5,413.0,445.8,439.4,458.1,458.6,486.2,492.0,499.9,488.0,509.5,516.5,538.4,532.4
충청북도 - 여자 - 취업자,Statistics,233.0,238.0,235.7,234.2,236.6,247.3,247.7,259.5,263.2,263.8,253.6,272.0,277.5,289.5,283.8,282.5,300.5,322.1,331.0,339.6,335.4,344.3,358.2,342.9,369.7,358.5,369.0,390.9
