item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
고양시 - 계 - 농가수,Statistics,41.0,47.0,46.0,41.0,40.0,38.0,38.0,36.0,36.0,39.0
고양시 - 계 - 출하량,Statistics,380.0,1126.0,821.5,996.0,1090.85,781.62,388.59,897.46,1268.56,1622.36
고양시 - 무항생제축산물 - 건수,Statistics,41.0,47.0,46.0,41.0,40.0,38.0,38.0,36.0,36.0,39.0
고양시 - 무항생제축산물 - 농가수,Statistics,41.0,47.0,46.0,41.0,40.0,38.0,38.0,36.0,36.0,39.0
고양시 - 무항생제축산물 - 출하량,Statistics,380.0,1126.0,821.5,996.0,1090.85,781.62,388.59,897.46,1268.56,1622.36
고창군 - 계 - 건수,Statistics,67.0,73.0,72.0,64.0,71.0,79.0,77.0,84.0,89.0,91.0
고창군 - 계 - 농가수,Statistics,67.0,73.0,72.0,64.0,71.0,79.0,77.0,84.0,89.0,91.0
고창군 - 계 - 출하량,Statistics,17189.0,23495.0,29206.0,28225.0,32117.85,43330.61,38254.57,46919.05,49925.7,51530.11
고창군 - 무항생제축산물 - 건수,Statistics,49.0,52.0,51.0,43.0,49.0,57.0,55.0,63.0,68.0,73.0
고창군 - 무항생제축산물 - 농가수,Statistics,49.0,52.0,51.0,43.0,49.0,57.0,55.0,63.0,68.0,73.0
고창군 - 무항생제축산물 - 출하량,Statistics,5051.0,7722.0,11952.7,9309.0,10784.08,20406.05,15757.01,24625.66,27527.9,32259.85
고창군 - 유기축산물 - 건수,Statistics,18.0,21.0,21.0,21.0,22.0,22.0,22.0,21.0,21.0,18.0
고창군 - 유기축산물 - 농가수,Statistics,18.0,21.0,21.0,21.0,22.0,22.0,22.0,21.0,21.0,18.0
고창군 - 유기축산물 - 출하량,Statistics,12138.0,15773.0,17253.3,18916.0,21333.77,22924.56,22497.56,22293.38,22397.8,19270.26
고흥군 - 계 - 건수,Statistics,38.0,52.0,56.0,46.0,52.0,49.0,50.0,46.0,52.0,49.0
고흥군 - 계 - 농가수,Statistics,57.0,80.0,84.0,73.0,91.0,61.0,97.0,95.0,100.0,102.0
고흥군 - 계 - 출하량,Statistics,1043.0,1269.0,2619.7,5662.0,6381.11,6679.1,7295.25,7087.66,7254.52,10885.97
고흥군 - 무항생제축산물 - 건수,Statistics,37.0,51.0,55.0,45.0,51.0,48.0,49.0,46.0,52.0,49.0
고흥군 - 무항생제축산물 - 농가수,Statistics,56.0,79.0,83.0,72.0,90.0,60.0,96.0,95.0,100.0,102.0
고흥군 - 무항생제축산물 - 출하량,Statistics,985.0,1199.0,2482.5,5479.0,6282.98,6570.1,7295.25,7087.66,7254.52,10885.97
고흥군 - 유기축산물 - 건수,Statistics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
고흥군 - 유기축산물 - 농가수,Statistics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
고흥군 - 유기축산물 - 출하량,Statistics,58.0,70.0,137.2,183.0,98.13,109.0,,,,
곡성군 - 계 - 건수,Statistics,73.0,79.0,80.0,73.0,82.0,74.0,76.0,79.0,81.0,89.0
곡성군 - 계 - 농가수,Statistics,84.0,88.0,89.0,76.0,82.0,74.0,76.0,79.0,81.0,89.0
곡성군 - 계 - 출하량,Statistics,6660.0,8791.0,12106.9,13362.0,12142.45,13160.3,14032.95,17845.54,17656.87,19871.13
곡성군 - 무항생제축산물 - 건수,Statistics,73.0,79.0,80.0,73.0,82.0,74.0,76.0,79.0,81.0,88.0
곡성군 - 무항생제축산물 - 농가수,Statistics,84.0,88.0,89.0,76.0,82.0,74.0,76.0,79.0,81.0,88.0
곡성군 - 무항생제축산물 - 출하량,Statistics,6660.0,8791.0,12106.9,13362.0,12142.45,13160.3,14032.95,17845.54,17656.87,19860.13
곡성군 - 유기축산물 - 건수,Statistics,,,,,,,,,,1.0
곡성군 - 유기축산물 - 농가수,Statistics,,,,,,,,,,1.0
곡성군 - 유기축산물 - 출하량,Statistics,,,,,,,,,,11.0
공주시 - 계 - 건수,Statistics,29.0,35.0,31.0,27.0,30.0,30.0,35.0,36.0,40.0,43.0
공주시 - 계 - 농가수,Statistics,29.0,35.0,31.0,27.0,30.0,30.0,35.0,36.0,40.0,43.0
공주시 - 계 - 출하량,Statistics,9287.0,9418.0,8605.5,11393.0,5700.48,6231.81,7080.43,12212.26,11884.78,11793.33
공주시 - 무항생제축산물 - 건수,Statistics,29.0,35.0,31.0,27.0,30.0,30.0,35.0,36.0,40.0,43.0
공주시 - 무항생제축산물 - 농가수,Statistics,29.0,35.0,31.0,27.0,30.0,30.0,35.0,36.0,40.0,43.0
공주시 - 무항생제축산물 - 출하량,Statistics,9287.0,9418.0,8605.5,11393.0,5700.48,6231.81,7080.43,12212.26,11884.78,11793.33
