item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
구미시 - 일반대＜br＞(A),Statistics,10217.0,10403.0,10541.0,10368.0,11733.0,13308.0,14325.0,15528.0,15624.0,15635.0,15346.0,14801.0,14347.0,14090.0,13488.0,13226.0,13370.0
구미시 - 전문대＜br＞(B),Statistics,5753.0,5802.0,6201.0,6894.0,7467.0,7874.0,8187.0,8306.0,8404.0,7966.0,7615.0,7201.0,6874.0,6885.0,6792.0,6701.0,6779.0
군산시 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,30083.0,28555.0,27046.0,26471.0,25961.0,25818.0,25740.0,25882.0,24709.0,23926.0,22973.0,21703.0,20895.0,19833.0,19031.0,18210.0,17758.0
군산시 - 산업대＜br＞(D),Statistics,10218.0,8963.0,7737.0,7462.0,7245.0,7219.0,7505.0,7830.0,7792.0,7612.0,7446.0,7129.0,7034.0,6700.0,6644.0,6436.0,6186.0
군산시 - 일반대＜br＞(A),Statistics,12416.0,12401.0,12239.0,12203.0,12045.0,11943.0,11815.0,11699.0,11255.0,10803.0,10344.0,10010.0,9945.0,9632.0,9055.0,8737.0,8549.0
군산시 - 전문대＜br＞(B),Statistics,7449.0,7191.0,7070.0,6806.0,6671.0,6656.0,6420.0,6353.0,5662.0,5511.0,5183.0,4564.0,3916.0,3501.0,3332.0,3037.0,3023.0
군포시 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,3517.0,3588.0,3721.0,3786.0,3818.0,3813.0,3805.0,3646.0,3655.0,3633.0,3594.0,3503.0,3370.0,3318.0,3304.0,3300.0,3261.0
군포시 - 일반대＜br＞(A),Statistics,3517.0,3588.0,3721.0,3786.0,3818.0,3813.0,3805.0,3646.0,3655.0,3633.0,3594.0,3503.0,3370.0,3318.0,3304.0,3300.0,3261.0
금산군 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,10793.0,11095.0,11543.0,11786.0,12312.0,12638.0,12834.0,12867.0,12632.0,12474.0,12266.0,12085.0,12156.0,11857.0,11247.0,5324.0,4870.0
금산군 - 일반대＜br＞(A),Statistics,10793.0,11095.0,11543.0,11786.0,12312.0,12638.0,12834.0,12867.0,12632.0,12474.0,12266.0,12085.0,12156.0,11857.0,11247.0,5324.0,4870.0
금정구 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,32274.0,36604.0,37102.0,37141.0,37166.0,37210.0,51622.0,51223.0,50079.0,48992.0,48283.0,47245.0,46450.0,44794.0,42971.0,38061.0,37435.0
금정구 - 일반대＜br＞(A),Statistics,30246.0,34554.0,34939.0,34926.0,34955.0,35077.0,49552.0,49158.0,48136.0,47149.0,46413.0,45427.0,44626.0,43004.0,41224.0,36406.0,35745.0
금정구 - 전문대＜br＞(B),Statistics,2028.0,2050.0,2163.0,2215.0,2211.0,2133.0,2070.0,2065.0,1943.0,1843.0,1870.0,1818.0,1824.0,1790.0,1747.0,1655.0,1690.0
김제시 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,1583.0,1441.0,1437.0,1407.0,977.0,505.0,75.0,,,,,,,,,,
김제시 - 전문대＜br＞(B),Statistics,1583.0,1441.0,1437.0,1407.0,977.0,505.0,75.0,,,,,,,,,,
김천시 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,6676.0,6535.0,5817.0,5364.0,5550.0,6243.0,6329.0,6601.0,6545.0,6198.0,5918.0,5667.0,5311.0,5045.0,4782.0,4405.0,4168.0
김천시 - 일반대＜br＞(A),Statistics,,,1105.0,2196.0,3216.0,4237.0,4643.0,4942.0,4949.0,4627.0,4407.0,4157.0,3834.0,3585.0,3325.0,2947.0,2688.0
김천시 - 전문대＜br＞(B),Statistics,6676.0,6535.0,4712.0,3168.0,2334.0,2006.0,1686.0,1659.0,1596.0,1571.0,1511.0,1510.0,1477.0,1460.0,1457.0,1458.0,1480.0
김포시 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,5935.0,5815.0,5935.0,5994.0,6174.0,5890.0,5567.0,5416.0,5397.0,5527.0,5465.0,5425.0,5181.0,4235.0,3318.0,2471.0,2334.0
김포시 - 일반대＜br＞(A),Statistics,302.0,292.0,294.0,279.0,268.0,255.0,244.0,227.0,210.0,200.0,158.0,149.0,147.0,128.0,108.0,78.0,68.0
김포시 - 전문대＜br＞(B),Statistics,5633.0,5523.0,5641.0,5715.0,5906.0,5635.0,5323.0,5189.0,5187.0,5327.0,5307.0,5276.0,5034.0,4107.0,3210.0,2393.0,2266.0
김해시 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,17308.0,17459.0,18031.0,18217.0,18448.0,18719.0,18949.0,18592.0,18120.0,17654.0,17348.0,16951.0,17366.0,16241.0,14854.0,13105.0,12161.0
김해시 - 일반대＜br＞(A),Statistics,16687.0,16803.0,17094.0,17062.0,17259.0,17179.0,17102.0,16729.0,16350.0,15880.0,15561.0,15151.0,15566.0,14536.0,13150.0,11430.0,10529.0
김해시 - 전문대＜br＞(B),Statistics,621.0,656.0,937.0,1155.0,1189.0,1540.0,1847.0,1863.0,1770.0,1774.0,1787.0,1800.0,1800.0,1705.0,1704.0,1675.0,1632.0
나주시 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,12091.0,11523.0,11650.0,11928.0,12280.0,12206.0,12054.0,12133.0,11834.0,11702.0,11540.0,10990.0,10635.0,10002.0,9501.0,8922.0,8598.0
나주시 - 일반대＜br＞(A),Statistics,9480.0,9383.0,9383.0,9442.0,9635.0,9882.0,9716.0,9769.0,9430.0,9209.0,9029.0,8684.0,8500.0,8226.0,7939.0,7437.0,7169.0
나주시 - 전문대＜br＞(B),Statistics,2611.0,2140.0,2267.0,2486.0,2645.0,2324.0,2338.0,2364.0,2404.0,2493.0,2511.0,2306.0,2135.0,1776.0,1562.0,1485.0,1429.0
남구 - 교육대＜br＞(C),Statistics,2417.0,2351.0,2245.0,2144.0,2015.0,1887.0,1774.0,1710.0,1718.0,1690.0,1687.0,1671.0,1658.0,1622.0,1606.0,1602.0,1589.0
남구 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,72776.0,73052.0,74210.0,75186.0,75391.0,73645.0,59382.0,58225.0,56291.0,54620.0,53784.0,52766.0,51881.0,50397.0,48524.0,47395.0,47055.0
남구 - 산업대＜br＞(D),Statistics,5419.0,3764.0,2483.0,1624.0,1070.0,549.0,235.0,,,,,,,,,,
남구 - 일반대＜br＞(A),Statistics,64927.0,67077.0,69551.0,71287.0,72077.0,71922.0,57937.0,57025.0,55093.0,53459.0,52687.0,51731.0,50942.0,49521.0,47709.0,46668.0,46314.0
남구 - 전문대＜br＞(B),Statistics,2430.0,2211.0,2176.0,2275.0,2244.0,1174.0,1210.0,1200.0,1198.0,1161.0,1097.0,1035.0,939.0,876.0,815.0,727.0,741.0
남양주시 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,421.0,152.0,45.0,5.0,3.0,3.0,,8672.0,8410.0,8323.0,8305.0,8263.0,8100.0,7942.0,7813.0,8176.0,8287.0
남양주시 - 전문대＜br＞(B),Statistics,421.0,152.0,45.0,5.0,3.0,3.0,,8672.0,8410.0,8323.0,8305.0,8263.0,8100.0,7942.0,7813.0,8176.0,8287.0
남원시 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,2040.0,2053.0,2279.0,2671.0,3559.0,1454.0,1249.0,1136.0,1114.0,1012.0,,,,,,,
남원시 - 일반대＜br＞(A),Statistics,2040.0,2053.0,2279.0,2671.0,3559.0,1454.0,1249.0,1136.0,1114.0,1012.0,,,,,,,
남해군 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,1835.0,1813.0,1796.0,1814.0,1827.0,1758.0,1705.0,1639.0,1634.0,1567.0,1490.0,1404.0,1355.0,1291.0,1235.0,1071.0,1059.0
남해군 - 전문대＜br＞(B),Statistics,1835.0,1813.0,1796.0,1814.0,1827.0,1758.0,1705.0,1639.0,1634.0,1567.0,1490.0,1404.0,1355.0,1291.0,1235.0,1071.0,1059.0
노원구 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,58021.0,59464.0,60473.0,60302.0,59889.0,59113.0,58221.0,56475.0,55101.0,53876.0,52523.0,52345.0,52497.0,51698.0,50912.0,50403.0,50068.0
노원구 - 산업대＜br＞(D),Statistics,18064.0,17865.0,17993.0,17992.0,14521.0,11213.0,8492.0,5930.0,3752.0,2057.0,,,,,,,
노원구 - 일반대＜br＞(A),Statistics,28462.0,29579.0,30711.0,31226.0,34337.0,37118.0,39392.0,40654.0,41718.0,42293.0,43223.0,43158.0,43364.0,42898.0,42281.0,42028.0,41905.0
노원구 - 전문대＜br＞(B),Statistics,11495.0,12020.0,11769.0,11084.0,11031.0,10782.0,10337.0,9891.0,9631.0,9526.0,9300.0,9187.0,9133.0,8800.0,8631.0,8375.0,8163.0
논산시 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,10088.0,10084.0,10048.0,9354.0,9034.0,8702.0,8491.0,7090.0,6835.0,6552.0,5857.0,5567.0,5221.0,4748.0,4330.0,4078.0,3594.0
논산시 - 일반대＜br＞(A),Statistics,10088.0,10084.0,10048.0,9354.0,9034.0,8702.0,8491.0,7090.0,6835.0,6552.0,5857.0,5567.0,5221.0,4748.0,4330.0,4078.0,3594.0
달서구 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,46474.0,47174.0,48565.0,49305.0,49395.0,48203.0,47159.0,45882.0,44374.0,42999.0,42001.0,41252.0,40471.0,39374.0,37630.0,34500.0,33673.0
달서구 - 일반대＜br＞(A),Statistics,33128.0,33976.0,34688.0,34986.0,34903.0,34638.0,34229.0,33568.0,32564.0,31545.0,30991.0,30583.0,30292.0,29997.0,29306.0,26676.0,26387.0
