item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
관악구 - 생활계폐기물 총발생량＜br＞(B),Statistics,501.2,520.6,563.1,583.4,551.0,581.7,569.3,540.3,474.4,340.0,321.0,317.6,315.5,354.3,337.9,339.7,361.8,436.8,434.7,401.6,400.4,442.7,402.4
관악구 - 총재활용량＜br＞(A),Statistics,172.9,216.6,280.3,337.2,362.2,380.0,387.2,385.4,326.0,163.0,157.4,187.5,179.9,218.2,209.7,212.9,231.4,315.9,313.2,282.8,240.7,300.0,266.8
광명시 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,57.8,55.8,52.3,53.3,58.2,38.9,51.3,50.9,50.1,49.3,49.3,48.3,43.8,46.2,53.1,50.4,48.4,49.9,46.0,42.5,52.3,57.8,57.2
광명시 - 생활계폐기물 총발생량＜br＞(B),Statistics,360.6,379.4,371.1,366.9,340.0,237.3,250.1,278.8,266.0,271.8,276.1,268.1,256.7,251.5,250.0,244.3,255.9,268.1,282.0,263.1,269.9,281.5,277.5
광명시 - 총재활용량＜br＞(A),Statistics,208.6,211.6,194.0,195.6,197.9,92.2,128.4,142.0,133.3,134.0,136.2,129.4,112.5,116.1,132.8,123.1,123.8,133.7,129.8,111.8,141.2,162.7,158.6
광산구 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,29.7,35.3,37.0,44.1,54.8,58.7,61.5,69.5,68.6,67.7,68.9,58.7,61.0,66.8,70.6,67.4,83.3,56.6,61.0,63.4,63.9,70.7,87.6
광산구 - 생활계폐기물 총발생량＜br＞(B),Statistics,307.0,317.5,301.8,311.8,298.8,292.7,291.2,324.4,324.3,293.4,288.2,293.8,303.0,319.5,355.9,345.6,353.0,365.1,418.7,419.3,481.4,453.6,448.7
광산구 - 총재활용량＜br＞(A),Statistics,91.3,112.0,111.7,137.4,163.8,171.7,179.0,225.3,222.4,198.5,198.6,172.5,184.7,213.3,251.3,232.9,293.9,206.5,255.6,265.7,307.7,320.5,392.9
광양시 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,30.2,31.1,40.7,41.6,50.9,33.1,50.9,60.7,45.0,41.3,37.6,36.5,61.4,40.3,41.3,32.2,36.1,39.6,47.6,47.4,40.1,45.4,46.4
광양시 - 생활계폐기물 총발생량＜br＞(B),Statistics,118.0,131.1,125.7,118.7,132.6,132.2,127.1,188.6,125.9,131.0,144.0,155.5,264.9,196.0,220.6,244.0,233.6,243.8,236.6,230.8,214.0,208.1,195.8
