item,category,2003,2004,2005,2006,2007,2008
울주군 - 요양기관수,Statistics,166.0,166.0,170.0,180.0,185.0,189.0
울진군 - 요양기관수,Statistics,76.0,76.0,79.0,81.0,81.0,77.0
원주시 - 요양기관수,Statistics,395.0,395.0,419.0,433.0,441.0,458.0
유성구 - 요양기관수,Statistics,253.0,255.0,270.0,298.0,346.0,357.0
은평구 - 요양기관수,Statistics,638.0,639.0,674.0,682.0,697.0,703.0
음성군 - 요양기관수,Statistics,128.0,127.0,131.0,137.0,136.0,138.0
의령군 - 요양기관수,Statistics,49.0,51.0,50.0,54.0,52.0,53.0
의성군 - 요양기관수,Statistics,103.0,104.0,110.0,111.0,111.0,114.0
의왕시 - 요양기관수,Statistics,165.0,163.0,167.0,179.0,169.0,159.0
의정부시 - 요양기관수,Statistics,508.0,516.0,539.0,537.0,554.0,569.0
이천시 - 요양기관수,Statistics,245.0,245.0,255.0,259.0,264.0,270.0
익산시 - 요양기관수,Statistics,461.0,464.0,465.0,484.0,494.0,506.0
인제군 - 요양기관수,Statistics,43.0,43.0,45.0,45.0,41.0,43.0
인천광역시 - 요양기관수,Statistics,3055.0,3062.0,3188.0,3305.0,3376.0,3471.0
임실군 - 요양기관수,Statistics,71.0,71.0,73.0,74.0,75.0,75.0
장성군 - 요양기관수,Statistics,73.0,74.0,76.0,75.0,75.0,77.0
장수군 - 요양기관수,Statistics,37.0,38.0,39.0,40.0,43.0,40.0
장흥군 - 요양기관수,Statistics,78.0,77.0,73.0,76.0,78.0,78.0
전국 - 요양기관수,Statistics,67960.0,68115.0,70475.0,73045.0,75230.0,76827.0
전라남도 - 요양기관수,Statistics,2690.0,2694.0,2751.0,2847.0,2892.0,2934.0
전북특별자치도 - 요양기관수,Statistics,2911.0,2929.0,3000.0,3087.0,3147.0,3184.0
전주시덕진구 - 요양기관수,Statistics,424.0,428.0,436.0,451.0,428.0,436.0
전주시완산구 - 요양기관수,Statistics,568.0,569.0,578.0,601.0,642.0,641.0
