item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
전북특별자치도 - 구조·구급대원 1인당 담당주민수＜br＞{A÷(B+C)},Statistics,4256.0,4049.0,4200.0,3937.0,3333.0,3297.0,3093.0,2782.0,2687.0,2527.0,2472.0,2091.0,1802.0,1614.0,1493.0,1376.0
전북특별자치도 - 구조대원 수＜br＞(B),Statistics,122.0,124.0,124.0,110.0,107.0,116.0,131.0,183.0,191.0,196.0,158.0,177.0,188.0,216.0,222.0,312.0
전북특별자치도 - 주민등록인구＜br＞(A),Statistics,1855772.0,1854508.0,1868963.0,1874031.0,1873341.0,1872965.0,1871560.0,1869711.0,1864791.0,1854607.0,1836832.0,1818917.0,1804104.0,1786855.0,1769607.0,1754757.0
제주특별자치도 - 구급대원 수＜br＞(C),Statistics,174.0,132.0,162.0,162.0,168.0,168.0,166.0,166.0,172.0,187.0,251.0,282.0,282.0,278.0,274.0,274.0
제주특별자치도 - 구조·구급대원 1인당 담당주민수＜br＞{A÷(B+C)},Statistics,2537.0,3143.0,2787.0,2811.0,2766.0,2801.0,2906.0,2973.0,2970.0,2820.0,2098.0,1928.0,2014.0,1917.0,1863.0,1805.0
제주특별자치도 - 구조대원 수＜br＞(B),Statistics,47.0,47.0,43.0,43.0,43.0,44.0,43.0,44.0,44.0,46.0,67.0,66.0,53.0,75.0,90.0,100.0
제주특별자치도 - 주민등록인구＜br＞(A),Statistics,560618.0,562663.0,571255.0,576156.0,583713.0,593806.0,607346.0,624395.0,641597.0,657083.0,667191.0,670989.0,674635.0,676759.0,678159.0,675252.0
충청남도 - 구급대원 수＜br＞(C),Statistics,332.0,453.0,394.0,407.0,394.0,408.0,430.0,472.0,570.0,616.0,745.0,912.0,948.0,990.0,999.0,999.0
충청남도 - 구조·구급대원 1인당 담당주민수＜br＞{A÷(B+C)},Statistics,4286.0,3271.0,3518.0,3479.0,3541.0,3308.0,3268.0,3092.0,2727.0,2604.0,2181.0,1795.0,1741.0,1638.0,1623.0,1613.0
충청남도 - 구조대원 수＜br＞(B),Statistics,139.0,170.0,196.0,197.0,179.0,211.0,201.0,200.0,199.0,197.0,230.0,271.0,270.0,304.0,309.0,322.0
충청남도 - 주민등록인구＜br＞(A),Statistics,2018537.0,2037582.0,2075514.0,2101284.0,2028777.0,2047631.0,2062273.0,2077649.0,2096727.0,2116770.0,2126282.0,2123709.0,2121029.0,2119257.0,2123037.0,2130119.0
충청북도 - 구급대원 수＜br＞(C),Statistics,261.0,338.0,366.0,326.0,312.0,322.0,378.0,384.0,396.0,394.0,443.0,561.0,614.0,612.0,655.0,648.0
충청북도 - 구조·구급대원 1인당 담당주민수＜br＞{A÷(B+C)},Statistics,3927.0,3229.0,2886.0,3177.0,3310.0,3171.0,2820.0,2803.0,2675.0,2614.0,2412.0,1946.0,1836.0,1761.0,1699.0,1543.0
충청북도 - 구조대원 수＜br＞(B),Statistics,126.0,135.0,171.0,166.0,161.0,174.0,182.0,181.0,199.0,216.0,220.0,261.0,258.0,295.0,284.0,385.0
충청북도 - 주민등록인구＜br＞(A),Statistics,1519587.0,1527478.0,1549528.0,1562903.0,1565628.0,1572732.0,1578933.0,1583952.0,1591625.0,1594432.0,1599252.0,1600007.0,1600837.0,1597427.0,1595058.0,1593469.0
