item,category,2021,2022,2023
수원시 - 주민등록인구(B),Statistics,1183714.0,1190964.0,1197257.0
순창군 - 사업체수(A),Statistics,3358.0,3306.0,3686.0
순창군 - 인구천명당 사업체수(A÷B×1000),Statistics,125.0,123.7,137.7
순창군 - 주민등록인구(B),Statistics,26855.0,26727.0,26764.0
순천시 - 사업체수(A),Statistics,32480.0,32428.0,32751.0
순천시 - 인구천명당 사업체수(A÷B×1000),Statistics,115.4,116.3,117.8
순천시 - 주민등록인구(B),Statistics,281436.0,278737.0,278137.0
시흥시 - 사업체수(A),Statistics,69637.0,71474.0,71302.0
시흥시 - 인구천명당 사업체수(A÷B×1000),Statistics,136.0,139.3,137.2
시흥시 - 주민등록인구(B),Statistics,512030.0,512912.0,519715.0
신안군 - 사업체수(A),Statistics,4583.0,4791.0,4956.0
신안군 - 인구천명당 사업체수(A÷B×1000),Statistics,119.9,126.6,130.3
신안군 - 주민등록인구(B),Statistics,38217.0,37858.0,38037.0
아산시 - 사업체수(A),Statistics,34775.0,35938.0,36996.0
아산시 - 인구천명당 사업체수(A÷B×1000),Statistics,107.1,107.4,107.0
아산시 - 주민등록인구(B),Statistics,324580.0,334539.0,345796.0
안동시 - 사업체수(A),Statistics,20093.0,20089.0,20992.0
안동시 - 인구천명당 사업체수(A÷B×1000),Statistics,128.0,129.9,137.3
안동시 - 주민등록인구(B),Statistics,156972.0,154610.0,152935.0
안산시 - 사업체수(A),Statistics,81372.0,82523.0,84944.0
안산시 - 인구천명당 사업체수(A÷B×1000),Statistics,124.7,128.6,135.0
안산시 - 주민등록인구(B),Statistics,652726.0,641660.0,629308.0
안성시 - 사업체수(A),Statistics,26323.0,26827.0,27219.0
안성시 - 인구천명당 사업체수(A÷B×1000),Statistics,138.9,142.1,144.0
안성시 - 주민등록인구(B),Statistics,189534.0,188842.0,189034.0
안양시 - 사업체수(A),Statistics,63452.0,65722.0,66594.0
안양시 - 인구천명당 사업체수(A÷B×1000),Statistics,116.0,119.9,122.3
안양시 - 주민등록인구(B),Statistics,547178.0,548228.0,544660.0
양구군 - 사업체수(A),Statistics,3186.0,3184.0,3320.0
양구군 - 인구천명당 사업체수(A÷B×1000),Statistics,146.5,148.9,157.7
양구군 - 주민등록인구(B),Statistics,21748.0,21383.0,21056.0
양산시 - 사업체수(A),Statistics,41370.0,42080.0,42755.0
양산시 - 인구천명당 사업체수(A÷B×1000),Statistics,116.6,118.9,120.4
양산시 - 주민등록인구(B),Statistics,354726.0,353792.0,355122.0
양양군 - 사업체수(A),Statistics,4989.0,5201.0,5379.0
양양군 - 인구천명당 사업체수(A÷B×1000),Statistics,178.7,186.6,194.1
양양군 - 주민등록인구(B),Statistics,27913.0,27866.0,27710.0
양주시 - 사업체수(A),Statistics,28132.0,29246.0,30903.0
