item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
덕진구 - 조이혼율 (천명당),Statistics,2.4,2.8,3.2,2.4,2.2,2.3,2.1,1.8,2.0,1.8,2.0,1.9,2.1,2.1,1.9,2.0,1.8,2.0,1.9,1.9,1.9,1.7,1.7,1.7
도봉구 - 조이혼율 (천명당),Statistics,2.8,3.0,3.4,2.9,2.5,2.3,2.5,2.3,2.4,2.3,2.2,2.3,2.2,2.2,2.1,1.9,1.9,2.1,2.1,2.1,1.9,1.6,1.5,1.5
동구 - 조이혼율 (천명당),Statistics,3.0,3.4,4.0,3.0,3.1,2.6,2.9,2.4,2.7,2.6,2.4,2.4,2.6,2.6,2.5,2.4,2.6,2.1,2.2,2.1,1.8,1.8,1.6,1.8
동남구 - 조이혼율 (천명당),Statistics,,,,,,,,2.7,2.9,2.7,2.5,2.7,2.9,2.6,2.4,2.5,2.3,2.5,2.7,2.5,2.3,2.2,2.1,2.1
동대문구 - 조이혼율 (천명당),Statistics,3.0,2.8,3.3,2.8,2.5,2.6,2.5,2.6,2.5,2.5,2.3,2.2,2.1,2.2,2.0,1.9,1.8,1.9,2.0,1.7,1.7,1.4,1.2,1.4
동두천시 - 조이혼율 (천명당),Statistics,4.5,5.0,5.7,5.0,4.0,4.4,4.4,3.7,3.8,3.4,3.1,3.4,3.9,3.7,3.5,2.9,3.0,2.7,3.1,3.0,2.8,2.7,2.6,2.8
동래구 - 조이혼율 (천명당),Statistics,2.6,3.0,3.5,2.9,2.3,2.2,2.1,2.0,2.2,2.0,1.9,1.9,1.9,2.0,1.7,1.7,1.7,1.7,1.9,1.6,1.6,1.6,1.4,1.3
동안구 - 조이혼율 (천명당),Statistics,2.4,2.4,2.5,2.2,1.9,1.8,1.7,1.8,1.9,1.7,1.6,1.6,1.6,1.6,1.6,1.4,1.5,1.5,1.5,1.4,1.3,1.2,1.1,1.1
동작구 - 조이혼율 (천명당),Statistics,2.5,2.6,2.6,2.4,2.2,2.1,2.1,1.9,2.0,1.8,1.9,1.8,1.6,1.8,1.6,1.5,1.5,1.4,1.4,1.6,1.3,1.2,1.1,1.2
동해시 - 조이혼율 (천명당),Statistics,3.2,3.4,3.5,3.2,2.7,2.8,2.4,1.8,2.2,2.5,2.1,2.2,2.7,2.6,2.2,2.1,2.4,2.1,2.8,2.4,2.1,2.1,2.2,2.3
마산시 - 조이혼율 (천명당),Statistics,2.8,2.8,3.6,2.9,2.5,2.1,2.4,2.2,2.3,,,,,,,,,,,,,,,
마산합포구 - 조이혼율 (천명당),Statistics,,,,,,,,,,2.3,2.2,2.0,2.1,2.4,2.2,2.3,2.0,2.3,2.1,2.2,2.2,1.9,2.0,1.8
마산회원구 - 조이혼율 (천명당),Statistics,,,,,,,,,,2.0,2.2,2.1,2.1,2.2,2.2,2.1,2.1,2.1,2.1,2.1,1.8,1.9,1.7,1.6
마포구 - 조이혼율 (천명당),Statistics,2.8,3.0,3.1,2.6,2.4,2.3,2.3,2.1,2.2,2.0,2.0,1.8,1.9,1.7,1.6,1.7,1.6,1.5,1.5,1.5,1.4,1.1,1.2,1.1
