item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
광양시 - 녹지지역 - 비율,Statistics,46.37,46.37,47.49,47.51,47.49,47.49,47.36,47.3,47.12,47.12,47.12,47.12,47.14,47.16,47.14
광양시 - 도시지역 - 면적,Statistics,181138398.0,181138398.0,176885410.0,176885410.0,176885410.0,176885410.0,176887820.0,176886009.0,176886009.0,176886009.0,176886009.0,176886009.0,176886009.0,176886009.0,176886009.0
광주광역시 - 녹지지역 - 면적,Statistics,372905640.0,372900880.0,372820458.0,372735896.0,372694291.0,372694291.0,372694291.0,361312180.0,359844811.0,358764406.0,358713372.0,357681289.0,357485576.0,357196034.0,356579415.0
광주광역시 - 녹지지역 - 비율,Statistics,77.67,77.67,77.66,77.64,77.64,77.64,77.64,75.03,74.96,74.73,74.73,74.5,74.48,74.43,74.31
광주광역시 - 도시지역 - 면적,Statistics,480117230.0,480108790.0,480053716.0,480053747.0,480050517.0,480050517.0,480050517.0,481554450.0,480047663.0,480053767.0,480002734.0,480081726.0,479978979.0,479890096.0,479838049.0
광주시 - 녹지지역 - 면적,Statistics,160290723.0,160148270.0,160148270.0,160148270.0,160152140.0,160152140.0,160137895.0,160056885.0,160056885.0,159612933.0,159384739.0,159251905.0,159247390.0,159247390.0,138006077.0
광주시 - 녹지지역 - 비율,Statistics,93.05,92.97,92.97,92.97,92.97,92.97,92.97,92.92,92.92,92.66,92.53,92.45,92.44,92.44,90.86
광주시 - 도시지역 - 면적,Statistics,172256000.0,172256000.0,172256000.0,172256000.0,172256000.0,172256000.0,172256000.0,172260533.0,172260533.0,172260533.0,172259487.0,172263425.0,172263424.0,172263424.0,151889586.0
광진구 - 녹지지역 - 면적,Statistics,5480000.0,5480000.0,5480000.0,5480000.0,5480000.0,5480000.0,5480000.0,5480000.0,5274873.0,5274873.0,5274873.0,5274873.0,5274873.0,5274873.0,5274873.0
광진구 - 녹지지역 - 비율,Statistics,32.14,32.14,32.14,32.14,32.14,32.14,32.14,32.14,30.89,30.89,30.89,30.89,30.89,30.89,30.89
광진구 - 도시지역 - 면적,Statistics,17050000.0,17050000.0,17050000.0,17050000.0,17050000.0,17050000.0,17050000.0,17050000.0,17075115.0,17075115.0,17075115.0,17075115.0,17075115.0,17075115.0,17075115.0
괴산군 - 녹지지역 - 면적,Statistics,8236451.0,8244789.0,8544646.0,8544646.0,8544646.0,8612753.0,8612753.0,8612753.0,8654679.0,8654679.0,8466411.0,8466411.0,8495779.0,8495779.0,8494386.0
