item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
동두천시 - 면적,Statistics,6977.0,2109.0,3418.0,2982.0,2780.0,2126.0,1788.0,1495.0,2032.0,2052.0,1922.0,2022.0,1634.0,1917.0,3424.0,1672.0,852.0,970.0
동래구 - 면적,Statistics,1496.0,431.0,489.0,642.0,778.0,475.0,762.0,990.0,990.0,840.0,938.0,711.0,782.0,1069.0,858.0,496.0,426.0,301.0
동작구 - 면적,Statistics,768.0,497.0,472.0,330.0,406.0,387.0,3767.0,576.0,1275.0,1179.0,740.0,774.0,558.0,746.0,561.0,423.0,256.0,372.0
동해시 - 면적,Statistics,2903.0,2741.0,2110.0,2899.0,4959.0,2367.0,3218.0,2694.0,3420.0,3080.0,2957.0,2174.0,2457.0,2287.0,2726.0,2266.0,1916.0,1007.0
마산시 - 면적,Statistics,9377.0,10770.0,6142.0,3113.0,,,,,,,,,,,,,,
마포구 - 면적,Statistics,657.0,650.0,445.0,331.0,532.0,410.0,631.0,566.0,907.0,791.0,681.0,1347.0,482.0,651.0,536.0,264.0,193.0,311.0
목포시 - 면적,Statistics,1675.0,1532.0,1087.0,1359.0,1650.0,1470.0,1277.0,1188.0,1358.0,1618.0,1895.0,1984.0,2139.0,1835.0,2062.0,1433.0,933.0,690.0
무안군 - 면적,Statistics,7206.0,7159.0,12616.0,8887.0,12719.0,10522.0,10095.0,9871.0,10131.0,9597.0,13838.0,14310.0,13202.0,11982.0,13766.0,10187.0,7111.0,7997.0
무주군 - 면적,Statistics,8664.0,8078.0,9865.0,14188.0,9425.0,8808.0,8102.0,7336.0,8464.0,7105.0,8259.0,8004.0,7832.0,8178.0,6274.0,6169.0,9916.0,6407.0
문경시 - 면적,Statistics,21192.0,18404.0,16681.0,15640.0,14476.0,14724.0,12696.0,19339.0,14715.0,18042.0,16354.0,14021.0,11914.0,12571.0,13081.0,13260.0,8451.0,9783.0
미추홀구 - 면적,Statistics,,,,,,,,,,,,642.0,1253.0,2067.0,1798.0,820.0,518.0,630.0
밀양시 - 면적,Statistics,32839.0,19663.0,18097.0,18053.0,17973.0,19433.0,21458.0,16051.0,22681.0,20484.0,17874.0,19017.0,14366.0,13605.0,14857.0,12302.0,10521.0,8316.0
