item,category,2011,2013,2015,2017,2019,2021,2023
세종특별자치시 - 남자 - 적정함,Statistics,,,29.3,32.2,38.6,37.285,31.056
세종특별자치시 - 여자 - 계,Statistics,,,100.0,100.0,100.0,100.0,100.0
세종특별자치시 - 여자 - 매우 부족함,Statistics,,,22.0,22.2,19.0,10.764,9.312
세종특별자치시 - 여자 - 매우 여유있음,Statistics,,,1.1,1.5,1.2,3.404,1.826
세종특별자치시 - 여자 - 약간  여유있음,Statistics,,,6.7,14.0,6.2,10.373,16.507
세종특별자치시 - 여자 - 약간 부족함,Statistics,,,38.9,39.3,41.5,44.212,42.037
세종특별자치시 - 여자 - 적정함,Statistics,,,31.4,23.0,32.0,31.247,30.317
울산광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
울산광역시 - 계 - 매우 부족함,Statistics,13.4,18.9,17.7,16.4,18.4,14.683,16.861
울산광역시 - 계 - 매우 여유있음,Statistics,6.1,0.4,0.6,1.2,1.2,1.91,1.334
울산광역시 - 계 - 약간  여유있음,Statistics,22.3,9.0,7.9,6.9,9.9,11.153,10.353
울산광역시 - 계 - 약간 부족함,Statistics,29.2,44.3,46.1,47.1,44.6,45.154,40.258
울산광역시 - 계 - 적정함,Statistics,29.0,27.3,27.7,28.4,25.8,27.1,31.194
울산광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
울산광역시 - 남자 - 매우 부족함,Statistics,12.9,16.9,16.6,15.8,18.5,12.56,13.32
울산광역시 - 남자 - 매우 여유있음,Statistics,7.1,0.4,0.6,1.3,1.0,2.21,1.71
울산광역시 - 남자 - 약간  여유있음,Statistics,23.9,9.3,9.2,7.0,11.1,10.964,11.019
울산광역시 - 남자 - 약간 부족함,Statistics,27.8,43.5,45.6,45.9,43.2,44.565,41.004
울산광역시 - 남자 - 적정함,Statistics,28.3,29.8,28.1,30.0,26.2,29.701,32.947
울산광역시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
울산광역시 - 여자 - 매우 부족함,Statistics,16.4,26.6,21.5,18.6,18.3,23.659,29.404
울산광역시 - 여자 - 매우 여유있음,Statistics,0.7,0.5,0.5,0.5,1.9,0.643,
울산광역시 - 여자 - 약간  여유있음,Statistics,13.5,7.8,3.6,6.6,5.9,11.954,7.997
울산광역시 - 여자 - 약간 부족함,Statistics,36.8,47.3,48.1,51.4,49.4,47.642,37.616
울산광역시 - 여자 - 적정함,Statistics,32.6,17.8,26.4,22.9,24.6,16.102,24.984
인천광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
인천광역시 - 계 - 매우 부족함,Statistics,19.3,29.0,24.6,22.1,18.6,19.021,18.165
인천광역시 - 계 - 매우 여유있음,Statistics,5.5,0.8,1.0,0.3,1.2,1.666,1.435
인천광역시 - 계 - 약간  여유있음,Statistics,14.5,6.4,6.5,7.7,10.0,11.34,11.811
인천광역시 - 계 - 약간 부족함,Statistics,35.7,43.6,40.7,45.6,38.9,42.743,41.03
인천광역시 - 계 - 적정함,Statistics,25.0,20.2,27.2,24.2,31.3,25.23,27.559
인천광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
