item,category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
서울 동작구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,41.8,48.0,49.8,48.3
서울 마포구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,49.6,47.8,49.3,45.9
서울 서대문구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,39.8,42.8,42.3,47.0
서울 서초구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,37.8,38.4,40.8,41.8
서울 성동구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,40.8,44.6,42.4,41.7
서울 성북구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,35.0,36.7,37.2,35.6
서울 송파구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,43.3,44.8,46.0,45.4
서울 양천구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,36.7,39.4,43.6,38.7
서울 영등포구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,52.6,52.3,57.2,62.8
서울 용산구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,48.6,47.0,48.3,49.7
서울 은평구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,44.4,46.2,49.0,47.5
서울 종로구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,36.2,42.6,35.2,32.3
서울 중구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,41.6,42.4,46.3,44.1
서울 중랑구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,48.0,49.8,54.7,53.7
서천군 - 15 - 29세 - 고용률 (%),Statistics,37.1,38.9,37.0,39.1,38.7,37.5,46.4,43.1,33.3,50.9,36.0,41.6
성남시 - 15 - 29세 - 고용률 (%),Statistics,42.7,40.7,44.6,44.4,42.4,42.6,43.0,43.5,42.4,42.9,47.4,45.4
성주군 - 15 - 29세 - 고용률 (%),Statistics,49.0,51.9,52.6,54.2,46.8,57.4,49.9,44.3,50.2,60.7,45.3,47.2
속초시 - 15 - 29세 - 고용률 (%),Statistics,36.8,30.6,32.0,32.2,34.2,32.9,37.0,42.1,40.5,45.4,46.0,46.3
수원시 - 15 - 29세 - 고용률 (%),Statistics,36.2,39.4,41.7,41.0,41.0,42.0,45.4,43.7,43.0,49.1,42.2,43.6
순창군 - 15 - 29세 - 고용률 (%),Statistics,30.1,34.8,26.7,33.9,34.8,26.0,27.5,34.7,31.8,31.2,13.0,15.8
순천시 - 15 - 29세 - 고용률 (%),Statistics,31.4,29.8,30.1,28.9,32.0,34.0,36.5,34.8,31.8,34.8,40.8,41.8
시흥시 - 15 - 29세 - 고용률 (%),Statistics,40.8,37.1,36.6,40.2,38.8,39.7,46.4,42.8,43.2,45.3,42.6,45.1
신안군 - 15 - 29세 - 고용률 (%),Statistics,45.4,49.0,57.8,54.2,51.0,53.5,53.2,51.6,60.4,73.8,58.2,63.4
아산시 - 15 - 29세 - 고용률 (%),Statistics,42.4,41.7,41.8,44.9,41.8,38.7,39.0,41.6,40.1,42.3,44.6,43.6
안동시 - 15 - 29세 - 고용률 (%),Statistics,28.3,29.7,27.6,30.0,28.6,30.9,32.2,27.6,27.3,28.1,38.7,36.6
안산시 - 15 - 29세 - 고용률 (%),Statistics,39.2,34.3,39.1,42.5,42.1,42.0,43.3,37.9,42.6,46.1,50.4,46.7
안성시 - 15 - 29세 - 고용률 (%),Statistics,41.0,39.0,43.3,40.8,40.4,47.7,46.2,42.5,42.6,42.2,49.5,48.0
안양시 - 15 - 29세 - 고용률 (%),Statistics,38.7,39.5,40.4,41.3,41.9,41.5,44.0,39.8,43.1,43.6,45.1,42.3
양구군 - 15 - 29세 - 고용률 (%),Statistics,37.9,38.0,35.5,45.1,44.3,36.3,37.7,32.5,39.6,38.9,36.7,31.9
양산시 - 15 - 29세 - 고용률 (%),Statistics,36.3,37.7,41.0,38.6,38.8,31.4,35.1,29.8,34.8,34.0,36.4,35.1
양양군 - 15 - 29세 - 고용률 (%),Statistics,43.9,47.5,37.5,41.6,45.5,44.6,46.8,44.7,41.6,55.3,48.6,45.2
양주시 - 15 - 29세 - 고용률 (%),Statistics,35.7,39.9,42.0,37.5,41.2,33.5,39.1,34.7,39.7,42.0,43.7,42.6
양평군 - 15 - 29세 - 고용률 (%),Statistics,31.2,34.5,32.7,32.0,32.4,36.6,33.7,30.7,31.8,38.8,36.4,33.6
여수시 - 15 - 29세 - 고용률 (%),Statistics,35.4,39.2,37.6,38.5,37.9,33.3,38.9,38.4,35.7,40.8,45.6,50.5
여주군 - 15 - 29세 - 고용률 (%),Statistics,43.7,,,,,,,,,,,
여주시 - 15 - 29세 - 고용률 (%),Statistics,40.1,38.3,43.7,41.1,41.2,42.7,39.8,43.9,49.3,45.9,48.9,44.1
연기군 - 15 - 29세 - 고용률 (%),Statistics,29.8,26.4,28.1,29.4,,,,,,,,
연천군 - 15 - 29세 - 고용률 (%),Statistics,37.3,36.4,36.2,38.4,40.1,36.2,38.1,43.8,45.8,39.2,36.4,43.2
영광군 - 15 - 29세 - 고용률 (%),Statistics,32.7,33.7,32.5,39.0,41.3,40.1,41.7,40.9,41.3,43.6,38.6,39.8
영덕군 - 15 - 29세 - 고용률 (%),Statistics,38.7,39.5,38.6,47.0,41.6,45.3,51.3,38.4,40.1,45.5,35.9,50.6
영동군 - 15 - 29세 - 고용률 (%),Statistics,22.6,25.7,21.3,24.3,25.4,23.8,26.0,17.4,26.3,33.9,37.5,43.4
영암군 - 15 - 29세 - 고용률 (%),Statistics,40.2,43.2,41.8,42.1,34.3,32.2,31.1,31.1,40.0,41.7,50.6,45.5
영양군 - 15 - 29세 - 고용률 (%),Statistics,40.4,42.9,35.1,38.0,39.0,32.5,45.6,24.2,39.5,34.8,40.3,37.5
영월군 - 15 - 29세 - 고용률 (%),Statistics,40.0,30.0,32.6,41.1,31.0,28.7,40.7,32.9,31.7,34.4,43.4,40.4
영주시 - 15 - 29세 - 고용률 (%),Statistics,27.8,27.3,27.5,22.2,24.2,24.0,26.6,20.0,24.6,29.1,31.8,30.3
영천시 - 15 - 29세 - 고용률 (%),Statistics,41.9,43.3,41.9,31.7,44.6,40.9,42.6,39.8,41.0,32.8,48.3,44.7
