item,category,2011,2013,2015,2017,2019,2021,2023
광주광역시 - 계 - - 미술관,Statistics,20.0,20.9,17.9,19.5,19.2,15.029,20.463
광주광역시 - 계 - - 박물관,Statistics,22.3,27.4,24.4,22.9,25.2,15.242,23.46
광주광역시 - 계 - - 스포츠 경기,Statistics,32.8,32.4,34.9,36.1,27.5,31.901,30.729
광주광역시 - 계 - - 연극·마당극·뮤지컬,Statistics,17.9,15.5,15.1,16.7,15.9,9.073,13.083
광주광역시 - 계 - - 영화,Statistics,78.4,83.5,87.5,87.0,89.4,62.885,77.128
광주광역시 - 계 - - 음악·연주회·콘서트,Statistics,19.8,18.7,19.3,18.9,26.1,11.776,22.834
광주광역시 - 계 - · 관람 횟수(평균),Statistics,2.4,2.2,2.6,2.4,2.3,1.807,1.63
광주광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 계 - 관람함,Statistics,61.4,71.7,71.4,73.1,73.0,27.276,58.448
광주광역시 - 계 - 관람횟수(평균),Statistics,7.9,8.7,9.0,9.1,8.3,4.187,6.322
광주광역시 - 남자 - - 기타,Statistics,,,,,,,0.947
광주광역시 - 남자 - - 무용,Statistics,0.5,1.6,1.1,1.0,1.0,0.742,0.78
광주광역시 - 남자 - - 문학행사,Statistics,,,,,,,8.522
광주광역시 - 남자 - - 미술관,Statistics,16.2,17.6,15.8,16.1,15.6,11.263,15.811
광주광역시 - 남자 - - 박물관,Statistics,21.3,24.7,21.9,21.6,24.8,15.929,20.148
광주광역시 - 남자 - - 스포츠 경기,Statistics,47.1,47.6,48.0,49.0,36.0,46.336,41.514
광주광역시 - 남자 - - 연극·마당극·뮤지컬,Statistics,12.7,11.8,10.9,13.6,12.9,7.132,11.075
광주광역시 - 남자 - - 영화,Statistics,72.6,80.5,84.0,84.1,87.4,59.301,75.425
광주광역시 - 남자 - - 음악·연주회·콘서트,Statistics,15.7,15.4,14.3,15.3,21.0,9.861,16.241
광주광역시 - 남자 - · 관람 횟수(평균),Statistics,2.6,2.1,2.7,2.2,2.2,1.752,1.736
광주광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
